name	term	lev	seq	value
"basement membrane collagen trimer"	GO:0098651	2	Amillepora15502	0
"basement membrane collagen trimer"	GO:0098651	2	Amillepora12489	0
"basement membrane collagen trimer"	GO:0098651	2	Amillepora12536	1
"basement membrane collagen trimer"	GO:0098651	2	Amillepora24331	0
"basement membrane collagen trimer"	GO:0098651	2	Amillepora27937	0
"filamentous actin"	GO:0031941	2	Amillepora14377	1
"filamentous actin"	GO:0031941	2	Amillepora14389	1
"filamentous actin"	GO:0031941	2	Amillepora00122	0
"filamentous actin"	GO:0031941	2	Amillepora05863	0
"filamentous actin"	GO:0031941	2	Amillepora18927	0
"filamentous actin"	GO:0031941	2	Amillepora19748	0
"filamentous actin"	GO:0031941	2	Amillepora19881	0
"filamentous actin"	GO:0031941	2	Amillepora21459	0
"filamentous actin"	GO:0031941	2	Amillepora28679	0
"condensed chromosome outer kinetochore"	GO:0000940	2	Amillepora27222	0
"condensed chromosome outer kinetochore"	GO:0000940	2	Amillepora14751	0
"condensed chromosome outer kinetochore"	GO:0000940	2	Amillepora14897	0
"condensed chromosome outer kinetochore"	GO:0000940	2	Amillepora16456	0
"condensed chromosome outer kinetochore"	GO:0000940	2	Amillepora16677	0
"condensed chromosome outer kinetochore"	GO:0000940	2	Amillepora00119	0
"condensed chromosome outer kinetochore"	GO:0000940	2	Amillepora06069	0
"condensed chromosome outer kinetochore"	GO:0000940	2	Amillepora10195	0
"condensed chromosome outer kinetochore"	GO:0000940	2	Amillepora07904	0
"condensed chromosome outer kinetochore"	GO:0000940	2	Amillepora19831	0
"CRD-mediated mRNA stability complex"	GO:0070937	2	Amillepora01089	0
"CRD-mediated mRNA stability complex"	GO:0070937	2	Amillepora09019	0
"CRD-mediated mRNA stability complex"	GO:0070937	2	Amillepora07761	0
"CRD-mediated mRNA stability complex"	GO:0070937	2	Amillepora19042	0
"CRD-mediated mRNA stability complex"	GO:0070937	2	Amillepora19994	0
"CRD-mediated mRNA stability complex"	GO:0070937	2	Amillepora19993	0
"CRD-mediated mRNA stability complex"	GO:0070937	2	Amillepora11035	0
"CRD-mediated mRNA stability complex"	GO:0070937	2	Amillepora35350	0
"cell pole"	GO:0060187	2	Amillepora26619	1
"cell pole"	GO:0060187	2	Amillepora14298	0
"cell pole"	GO:0060187	2	Amillepora25004	0
"cell pole"	GO:0060187	2	Amillepora01054	0
"cell pole"	GO:0060187	2	Amillepora01150	0
"cell pole"	GO:0060187	2	Amillepora02496	0
"cell pole"	GO:0060187	2	Amillepora03495	0
"cell pole"	GO:0060187	2	Amillepora05878	0
"cell pole"	GO:0060187	2	Amillepora05904	0
"cell pole"	GO:0060187	2	Amillepora08453	0
"cell pole"	GO:0060187	2	Amillepora19790	0
"cell pole"	GO:0060187	2	Amillepora19953	0
"cell pole"	GO:0060187	2	Amillepora30126	0
"cell pole"	GO:0060187	2	Amillepora32022	0
"transcription elongation factor complex"	GO:0008023	2	Amillepora18125	0
"transcription elongation factor complex"	GO:0008023	2	Amillepora13300	0
"transcription elongation factor complex"	GO:0008023	2	Amillepora13525	0
"transcription elongation factor complex"	GO:0008023	2	Amillepora13708	0
"transcription elongation factor complex"	GO:0008023	2	Amillepora13733	0
"transcription elongation factor complex"	GO:0008023	2	Amillepora15171	0
"transcription elongation factor complex"	GO:0008023	2	Amillepora16298	0
"transcription elongation factor complex"	GO:0008023	2	Amillepora24942	0
"transcription elongation factor complex"	GO:0008023	2	Amillepora00667	0
"transcription elongation factor complex"	GO:0008023	2	Amillepora00846	1
