"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.478167680205125 5 9 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 1
0 0.445956362832004 3 14 "GO:0000030" "mannosyltransferase activity" 1
0 0.00134708385647377 2 28 "GO:0000049" "tRNA binding" 0.107019143892811
0 0.0754808483750153 3 18 "GO:0000062;GO:0120227;GO:1901567" "fatty acid derivative binding" 0.839779583811682
0 0.591345265225809 3 11 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 1
0 1 2 12 "GO:0000146;GO:0030898" "microfilament motor activity" 1
0 0.786344084016049 2 23 "GO:0000149" "SNARE binding" 1
0 0.0336466574475029 3 722 "GO:0000166;GO:1901265;GO:0097367" "carbohydrate derivative binding" 0.549887684640783
0 0.967358598937366 2 18 "GO:0000217" "DNA secondary structure binding" 1
0 0.996630093119579 2 71 "GO:0000287" "magnesium ion binding" 1
0 0.347752005022892 3 7 "GO:0000295;GO:0015216;GO:0005346" "adenine nucleotide transmembrane transporter activity" 1
0 0.876316089144038 3 11 "GO:0000339;GO:0000340" "RNA cap binding" 1
0 1 4 6 "GO:0000403" "Y-form DNA binding" 1
0 1 2 10 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 1
0 0.998388753906581 3 111 "GO:0000976;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 0.998832485940294 2 69 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 0.999594730595834 3 41 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 1
0 1 7 6 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 1
0 0.999958637764113 4 130 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 0.99771975323368 -1 272 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 1
0 1 5 6 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 1
0 1 4 10 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 0.999853804873753 2 164 "GO:0001067" "regulatory region nucleic acid binding" 1
0 0.866092401283445 -1 69 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 1
0 0.613067576411618 -1 5 "GO:0001083" "obsolete transcription factor activity, RNA polymerase II basal transcription factor binding" 1
0 0.989593636837687 3 24 "GO:0001085" "RNA polymerase II transcription factor binding" 1
0 0.613067576411618 4 5 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 1
0 0.876316089144038 3 11 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 1
0 1 2 8 "GO:0001102" "RNA polymerase II activating transcription factor binding" 1
0 0.977698306125816 -1 20 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 1
0 0.942216385540152 -1 15 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 1
0 1 4 17 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 1
0 0.998946187361674 2 36 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 1
0 0.64065916931636 3 12 "GO:0001530" "lipopolysaccharide binding" 1
0 0.020013509035886 2 7 "GO:0001537" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.367186624964521
0 0.819083052725504 2 9 "GO:0001540" "amyloid-beta binding" 1
