"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.471655232660112 2 9 "GO:0000109" "nucleotide-excision repair complex" 1
0 0.0308090843785759 3 40 "GO:0000118" "histone deacetylase complex" 0.436315565410977
0 0.788775628339634 2 64 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 0.287002720663746 3 16 "GO:0000124" "SAGA complex" 1
0 1 2 5 "GO:0000125" "PCAF complex" 1
0 1 2 5 "GO:0000131" "incipient cellular bud site" 1
0 1 2 7 "GO:0000137" "Golgi cis cisterna" 1
0 1 2 7 "GO:0000138" "Golgi trans cisterna" 1
0 0.51676971139804 3 491 "GO:0000139;GO:0044431" "obsolete Golgi apparatus part" 1
0 1 2 6 "GO:0000145" "exocyst" 1
0 0.520010747361115 4 110 "GO:0000151" "ubiquitin ligase complex" 1
0 0.535027194087379 2 28 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.408673396093721 2 8 "GO:0000153;GO:0030891" "cytoplasmic ubiquitin ligase complex" 1
0 0.77700140935965 2 8 "GO:0000159" "protein phosphatase type 2A complex" 1
0 0.718618030365482 5 14 "GO:0000176;GO:0000177" "nuclear exosome (RNase complex)" 1
0 0.181372465408865 4 18 "GO:0000178;GO:1905354" "exosome (RNase complex)" 1
0 0.204465236850456 3 5 "GO:0000220;GO:0033179" "vacuolar proton-transporting V-type ATPase, V0 domain" 1
0 0.14282196410142 3 8 "GO:0000221;GO:0033180" "proton-transporting V-type ATPase, V1 domain" 0.926672159098623
0 0.713542918362699 6 275 "GO:0000228;GO:0044454" "nuclear chromosome" 1
0 0.950380176199748 8 16 "GO:0000235;GO:0005818" "aster" 1
0 1 2 13 "GO:0000242" "pericentriolar material" 1
0 1 3 5 "GO:0000275;GO:0045261" "proton-transporting ATP synthase complex, catalytic core F(1)" 1
0 0.94011913371558 2 15 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.00216677775675323 2 49 "GO:0000313;GO:0005761" "organellar ribosome" 0.120354655397839
0 0.0129396877394195 2 20 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.26353830695951
0 0.165217444836223 4 27 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.952338290518229
0 0.337732606900345 2 12 "GO:0000322;GO:0000324;GO:0000329" "storage vacuole" 1
0 0.148612157787292 2 353 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 0.926672159098623
0 1 2 9 "GO:0000346" "transcription export complex" 1
0 1 2 7 "GO:0000347;GO:0000445" "THO complex" 1
0 1 2 8 "GO:0000407" "phagophore assembly site" 1
0 1 4 8 "GO:0000421" "autophagosome membrane" 1
0 0.192082388962877 2 101 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 1
0 0.0518214498534151 3 57 "GO:0000502;GO:1905369" "endopeptidase complex" 0.567269377961306
0 0.826275957651741 2 106 "GO:0000775" "chromosome, centromeric region" 1
0 0.788060682724193 2 77 "GO:0000776" "kinetochore" 1
0 0.544138597297413 3 64 "GO:0000777;GO:0000779" "condensed chromosome, centromeric region" 1
0 0.273507954673508 4 6 "GO:0000778" "condensed nuclear chromosome kinetochore" 1
0 0.633883833092578 5 12 "GO:0000780" "condensed nuclear chromosome, centromeric region" 1
0 0.473509952021585 2 32 "GO:0000781" "chromosome, telomeric region" 1
0 0.101751496118163 3 7 "GO:0000782;GO:0000783" "nuclear telomere cap complex" 0.815757862928159
0 0.328848012787614 4 17 "GO:0000784" "nuclear chromosome, telomeric region" 1
0 0.999284044313418 2 230 "GO:0000785" "chromatin" 1
0 0.999036762656472 2 125 "GO:0000790" "nuclear chromatin" 1
0 0.97661297292912 3 20 "GO:0000791" "euchromatin" 1
0 0.761285090251208 2 36 "GO:0000792" "heterochromatin" 1
0 0.864507098575192 2 149 "GO:0000793" "condensed chromosome" 1
0 0.802115370627796 2 78 "GO:0000794" "condensed nuclear chromosome" 1
0 0.980623838383695 3 21 "GO:0000795;GO:0099086" "synaptonemal complex" 1
0 1 3 8 "GO:0000796" "condensin complex" 1
0 1 2 6 "GO:0000798;GO:0030893;GO:0034991" "meiotic cohesin complex" 1
0 1 2 9 "GO:0000800" "lateral element" 1
0 0.958697824263626 2 27 "GO:0000803" "sex chromosome" 1
0 1 3 13 "GO:0000805" "X chromosome" 1
0 0.846810333068372 2 10 "GO:0000808;GO:0005664" "origin recognition complex" 1
0 0.730960407701408 2 7 "GO:0000813" "ESCRT I complex" 1
0 0.675424712043442 2 6 "GO:0000815" "ESCRT III complex" 1
0 0.60515508363519 2 97 "GO:0000922" "spindle pole" 1
0 0.846810333068372 2 10 "GO:0000930" "gamma-tubulin complex" 1
0 0.675424712043442 3 6 "GO:0000931;GO:0008274" "gamma-tubulin ring complex" 1
0 0.747230938360207 4 42 "GO:0000932" "P-body" 1
0 1 2 10 "GO:0000940" "condensed chromosome outer kinetochore" 1
0 0.0333007161460674 2 8 "GO:0000974" "Prp19 complex" 0.45214972367216
0 0.83804278443895 4 47 "GO:0001669" "acrosomal vesicle" 1
0 0.633883833092578 7 12 "GO:0001673" "male germ cell nucleus" 1
0 0.408673396093721 3 8 "GO:0001674;GO:0042585" "female germ cell nucleus" 1
0 0.99373802891322 2 27 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 1
0 0.986860106710287 3 70 "GO:0001726" "ruffle" 1
0 1 5 5 "GO:0001739" "sex chromatin" 1
0 0.730960407701408 3 7 "GO:0001741" "XY body" 1
0 1 2 19 "GO:0001750" "photoreceptor outer segment" 1
0 0.730960407701408 2 7 "GO:0001772" "immunological synapse" 1
0 0.754411892591802 2 15 "GO:0001891" "phagocytic cup" 1
0 0.94011913371558 2 15 "GO:0001917" "photoreceptor inner segment" 1
0 0.894780200812481 3 12 "GO:0002080" "acrosomal membrane" 1
0 0.846810333068372 2 10 "GO:0002102" "podosome" 1
0 1 2 11 "GO:0002116" "semaphorin receptor complex" 1
0 0.77700140935965 4 8 "GO:0002178;GO:0017059;GO:0031211;GO:1905961" "endoplasmic reticulum palmitoyltransferase complex" 1
0 1 2 8 "GO:0002199;GO:0005832;GO:0101031" "chaperonin-containing T-complex" 1
0 0.689707043441524 2 20 "GO:0005581" "collagen trimer" 1
0 0.678525045110182 3 13 "GO:0005593;GO:0005595;GO:0030934" "FACIT collagen trimer" 1
0 0.170613300200749 3 94 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.956373636905116
0 0.0379480182618722 3 5 "GO:0005608;GO:0043256" "laminin-3 complex" 0.465779755700039
0 1 3 5 "GO:0005614" "interstitial matrix" 1
0 0.131263119402896 2 361 "GO:0005615" "extracellular space" 0.926672159098623
0 0.24734799967259 2 294 "GO:0005635" "nuclear envelope" 1
0 0.965932137685666 3 18 "GO:0005637" "nuclear inner membrane" 1
0 1 3 5 "GO:0005640" "nuclear outer membrane" 1
0 0.815169681447092 2 9 "GO:0005641" "nuclear envelope lumen" 1
0 0.292310774096607 2 64 "GO:0005643;GO:0046930" "pore complex" 1
0 0.786203496453058 2 16 "GO:0005652" "nuclear lamina" 1
0 0.53040381685557 2 10 "GO:0005656;GO:0036387" "nuclear pre-replicative complex" 1
0 0.24566023408086 2 51 "GO:0005657" "replication fork" 1
0 0.0142146228736277 3 13 "GO:0005658" "alpha DNA polymerase:primase complex" 0.280165631476985
0 1 2 5 "GO:0005663" "DNA replication factor C complex" 1
0 0.337732606900345 2 12 "GO:0005665" "RNA polymerase II, core complex" 1
0 0.584525295393872 4 11 "GO:0005666" "RNA polymerase III complex" 1
0 0.988301483376241 2 198 "GO:0005667" "transcription regulator complex" 1
0 0.0753093658893697 4 14 "GO:0005669" "transcription factor TFIID complex" 0.707908039360075
0 0.718618030365482 2 14 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 1
0 1 3 12 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 1
0 0.101751496118163 2 7 "GO:0005677" "chromatin silencing complex" 0.815757862928159
0 0.134230833031805 3 12 "GO:0005680" "anaphase-promoting complex" 0.926672159098623
0 0.632095475494402 3 171 "GO:0005681" "spliceosomal complex" 1
0 0.815169681447092 2 9 "GO:0005682" "U5 snRNP" 1
0 0.60843858581512 4 5 "GO:0005683" "U7 snRNP" 1
0 1 2 5 "GO:0005684" "U2-type spliceosomal complex" 1
0 0.471655232660112 2 9 "GO:0005685" "U1 snRNP" 1
0 0.927738650973994 5 14 "GO:0005686" "U2 snRNP" 1
0 0.342210538095646 2 7 "GO:0005688" "U6 snRNP" 1
0 0.575375519729168 4 17 "GO:0005689" "U12-type spliceosomal complex" 1
0 0.961361968821873 5 551 "GO:0005694;GO:0044427" "chromosome" 1
0 0.60843858581512 2 5 "GO:0005697" "telomerase holoenzyme complex" 1
0 0.890683958603176 2 86 "GO:0005700" "polytene chromosome" 1
0 0.14282196410142 2 8 "GO:0005701" "polytene chromosome chromocenter" 0.926672159098623
0 0.814313893349577 2 17 "GO:0005703" "polytene chromosome puff" 1
0 0.950380176199748 3 16 "GO:0005705" "polytene chromosome interband" 1
0 0.894780200812481 4 12 "GO:0005719" "nuclear euchromatin" 1
0 0.494469531990524 4 21 "GO:0005720" "nuclear heterochromatin" 1
0 0.134230833031805 4 12 "GO:0005721" "pericentric heterochromatin" 0.926672159098623
0 0.841407922817284 2 470 "GO:0005730" "nucleolus" 1
0 0.00617980135575542 3 18 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.180296330232411
0 0.05199195608156 4 9 "GO:0005736" "RNA polymerase I complex" 0.567269377961306
0 0.716515972393812 2 366 "GO:0005740;GO:0031966" "mitochondrial envelope" 1
0 0.587263576902229 2 90 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 0.777149246626208 2 270 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 1 3 10 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 1
0 0.116098529849452 3 39 "GO:0005746;GO:0070469;GO:0098803" "mitochondrial respirasome" 0.88670252172519
0 0.134924411535975 4 21 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 0.926672159098623
0 0.675424712043442 3 6 "GO:0005750;GO:0045275" "mitochondrial respiratory chain complex III" 1
