"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 74 "GO:0000022;GO:0051231" "spindle elongation" 1
0 1 2 122 "GO:0000041" "transition metal ion transport" 1
0 1 3 95 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 1 2 331 "GO:0000075;GO:1901988;GO:0010948;GO:1901987" "regulation of cell cycle phase transition" 1
0 1 4 166 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 1
0 1 3 184 "GO:0000082;GO:0044843;GO:0051325;GO:0051329" "interphase" 1
0 1 2 115 "GO:0000084;GO:0051320" "S phase" 1
0 0.174606404610659 7 357 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 3 196 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 1
0 1 3 95 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 1 7 106 "GO:0000187" "activation of MAPK activity" 1
0 1 2 142 "GO:0000209" "protein polyubiquitination" 1
0 1 2 646 "GO:0000226;GO:0007017" "microtubule-based process" 1
0 1 2 55 "GO:0000236" "mitotic prometaphase" 1
0 1 2 419 "GO:0000280;GO:0048285" "organelle fission" 1
0 1 2 149 "GO:0000302" "response to reactive oxygen species" 1
0 1 2 256 "GO:0000375;GO:0008380;GO:0000377;GO:0000398" "RNA splicing" 1
0 1 2 181 "GO:0000578;GO:0009948;GO:0007351;GO:0008595" "anterior/posterior axis specification" 1
0 1 3 65 "GO:0000723;GO:0032200" "telomere organization" 1
0 1 3 52 "GO:0000724;GO:0000725" "recombinational repair" 1
0 0.365382007141977 2 819 "GO:0000904;GO:0048812;GO:0120039;GO:0048667" "cell morphogenesis involved in differentiation" 1
0 1 2 218 "GO:0000910" "cytokinesis" 1
0 1 2 171 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 1
0 1 2 98 "GO:0001101" "response to acid chemical" 1
0 1 4 248 "GO:0001501" "skeletal system development" 1
0 1 2 99 "GO:0001503" "ossification" 1
0 1 2 221 "GO:0001505;GO:0006836" "regulation of neurotransmitter levels" 1
0 1 2 109 "GO:0001508" "action potential" 1
0 1 2 197 "GO:0001525" "angiogenesis" 1
0 1 4 248 "GO:0001558" "regulation of cell growth" 1
0 1 2 295 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 1
0 1 2 57 "GO:0001570" "vasculogenesis" 1
0 1 2 633 "GO:0001654;GO:0007423" "sensory organ development" 1
0 1 2 284 "GO:0001655;GO:0072001" "urogenital system development" 1
0 1 4 53 "GO:0001657;GO:0072164;GO:0072163" "mesonephric tubule development" 1
0 0.1129599487965 2 225 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 1 2 294 "GO:0001667" "ameboidal-type cell migration" 1
0 1 2 151 "GO:0001700" "embryonic development via the syncytial blastoderm" 1
0 1 2 256 "GO:0001701" "in utero embryonic development" 1
0 1 2 66 "GO:0001703" "gastrulation with mouth forming first" 1
0 1 2 103 "GO:0001704;GO:0001707;GO:0048332" "formation of primary germ layer" 1
0 1 2 126 "GO:0001708" "cell fate specification" 1
0 1 2 158 "GO:0001709" "cell fate determination" 1
