name	term	lev	seq	value
"DNA-(apurinic or apyrimidinic site) endonuclease activity"	GO:0003906	3	Amillepora26813	0
"DNA-(apurinic or apyrimidinic site) endonuclease activity"	GO:0003906	3	Amillepora14131	0
"DNA-(apurinic or apyrimidinic site) endonuclease activity"	GO:0003906	3	Amillepora14828	0
"DNA-(apurinic or apyrimidinic site) endonuclease activity"	GO:0003906	3	Amillepora14862	0
"DNA-(apurinic or apyrimidinic site) endonuclease activity"	GO:0003906	3	Amillepora08096	0
"DNA-(apurinic or apyrimidinic site) endonuclease activity"	GO:0003906	3	Amillepora08568	0
"DNA-(apurinic or apyrimidinic site) endonuclease activity"	GO:0003906	3	Amillepora19240	0
"DNA-(apurinic or apyrimidinic site) endonuclease activity"	GO:0003906	3	Amillepora21381	0
"DNA-(apurinic or apyrimidinic site) endonuclease activity"	GO:0003906	3	Amillepora38081	1
"DNA-(apurinic or apyrimidinic site) endonuclease activity"	GO:0003906	3	Amillepora37837	1
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora18455	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora26478	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora26849	1
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora26865	1
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora27208	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora12983	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora13122	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora13287	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora14178	1
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora15219	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora15449	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora15523	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora15538	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora16017	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora16185	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora16396	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora16628	1
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora24920	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora24942	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora24993	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora25067	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora25094	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora25239	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora25472	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora25488	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora26167	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora26168	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora00098	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora00969	1
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora01000	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora01009	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora02499	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora02681	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora02759	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora03103	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora03515	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora03516	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora04000	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora04663	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora05133	1
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora05182	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora05927	1
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora21925	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora21928	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora22260	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora22384	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora23296	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora09158	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora10395	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora06157	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora06476	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora06616	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora07708	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora07709	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora08007	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora08077	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora08265	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora08264	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora08548	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora19041	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora19458	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora20186	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora12563	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora24663	1
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora21609	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora27862	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora31580	1
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora34789	0
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora34068	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora17919	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora17928	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora17925	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora18443	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora26806	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora27258	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora27527	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora12952	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora12983	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora13029	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora13030	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora13122	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora13287	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora13455	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora14349	1
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora14352	1
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora14728	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora14740	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora14742	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora15219	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora15449	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora15521	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora16116	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora16396	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora24993	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora25094	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora25239	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora00969	1
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora01000	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora01383	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora02017	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora02016	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora02027	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora02681	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora02684	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora02704	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora02839	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora03103	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora03511	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora03672	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora03718	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora04000	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora04570	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora04620	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora04652	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora04913	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora05133	1
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora05182	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora05302	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora05734	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora05811	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora06092	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora22531	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora23082	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora23166	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora08726	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora09450	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora09467	1
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora09598	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora10066	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora10112	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora10392	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora10608	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora10612	1
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora06376	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora06535	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora06616	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora07110	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora07708	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora07709	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora08007	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora08075	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora08077	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora08265	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora08264	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora08548	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora19976	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora19974	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora20226	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora20260	1
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora11099	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora12009	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora12224	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora12302	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora12563	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora24661	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora20942	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora27854	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora27862	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora27926	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora30723	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora31884	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora32011	1
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora32012	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora37668	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora36698	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora26593	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora27222	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora15572	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora00711	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora00805	1
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora00825	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora02022	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora02861	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora05437	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora21893	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora21969	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora08871	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora08554	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora20272	0
"sequence-specific double-stranded DNA binding"	GO:0000976;GO:1990837	3	Amillepora31065	0
"voltage-gated anion channel activity"	GO:0008308	3	Amillepora00118	0
"voltage-gated anion channel activity"	GO:0008308	3	Amillepora04705	1
"voltage-gated anion channel activity"	GO:0008308	3	Amillepora08025	0
"voltage-gated anion channel activity"	GO:0008308	3	Amillepora19036	0
"voltage-gated anion channel activity"	GO:0008308	3	Amillepora20553	0
"AU-rich element binding"	GO:0017091	3	Amillepora15508	0
"AU-rich element binding"	GO:0017091	3	Amillepora02023	0
"AU-rich element binding"	GO:0017091	3	Amillepora03627	0
"AU-rich element binding"	GO:0017091	3	Amillepora04672	0
"AU-rich element binding"	GO:0017091	3	Amillepora07710	0
"AU-rich element binding"	GO:0017091	3	Amillepora08458	0
"AU-rich element binding"	GO:0017091	3	Amillepora12862	0
"AU-rich element binding"	GO:0017091	3	Amillepora31038	0
"1-phosphatidylinositol binding"	GO:0005545	2	Amillepora14822	0
"1-phosphatidylinositol binding"	GO:0005545	2	Amillepora16078	0
"1-phosphatidylinositol binding"	GO:0005545	2	Amillepora16297	0
"1-phosphatidylinositol binding"	GO:0005545	2	Amillepora00092	0
"1-phosphatidylinositol binding"	GO:0005545	2	Amillepora00981	0
"1-phosphatidylinositol binding"	GO:0005545	2	Amillepora05038	0
"1-phosphatidylinositol binding"	GO:0005545	2	Amillepora22342	0
"1-phosphatidylinositol binding"	GO:0005545	2	Amillepora09708	0
"1-phosphatidylinositol binding"	GO:0005545	2	Amillepora20340	0
"1-phosphatidylinositol binding"	GO:0005545	2	Amillepora24826	0
"1-phosphatidylinositol binding"	GO:0005545	2	Amillepora24834	0
"1-phosphatidylinositol binding"	GO:0005545	2	Amillepora20353	0
"1-phosphatidylinositol binding"	GO:0005545	2	Amillepora30433	0
"propionyl-CoA carboxylase activity"	GO:0004658	2	Amillepora25762	0
"propionyl-CoA carboxylase activity"	GO:0004658	2	Amillepora24529	0
"propionyl-CoA carboxylase activity"	GO:0004658	2	Amillepora21489	0
"propionyl-CoA carboxylase activity"	GO:0004658	2	Amillepora21495	0
"propionyl-CoA carboxylase activity"	GO:0004658	2	Amillepora21496	0
"aromatic amino acid transmembrane transporter activity"	GO:0015173	3	Amillepora00501	1
"aromatic amino acid transmembrane transporter activity"	GO:0015173	3	Amillepora00526	0
"aromatic amino acid transmembrane transporter activity"	GO:0015173	3	Amillepora08632	0
"aromatic amino acid transmembrane transporter activity"	GO:0015173	3	Amillepora33749	0
"aromatic amino acid transmembrane transporter activity"	GO:0015173	3	Amillepora33750	0
"fibroblast growth factor binding"	GO:0017134	3	Amillepora13316	0
"fibroblast growth factor binding"	GO:0017134	3	Amillepora15125	0
"fibroblast growth factor binding"	GO:0017134	3	Amillepora04152	0
"fibroblast growth factor binding"	GO:0017134	3	Amillepora04154	1
"fibroblast growth factor binding"	GO:0017134	3	Amillepora08652	0
"fibroblast growth factor binding"	GO:0017134	3	Amillepora08436	0
"fibroblast growth factor binding"	GO:0017134	3	Amillepora20004	0
"fibroblast growth factor binding"	GO:0017134	3	Amillepora24112	0
"fibroblast growth factor binding"	GO:0017134	3	Amillepora32580	0
"narrow pore channel activity"	GO:0022840;GO:0022842;GO:0022841	5	Amillepora17923	0
"narrow pore channel activity"	GO:0022840;GO:0022842;GO:0022841	5	Amillepora14600	1
"narrow pore channel activity"	GO:0022840;GO:0022842;GO:0022841	5	Amillepora14650	0
"narrow pore channel activity"	GO:0022840;GO:0022842;GO:0022841	5	Amillepora03576	0
"narrow pore channel activity"	GO:0022840;GO:0022842;GO:0022841	5	Amillepora22178	0
"narrow pore channel activity"	GO:0022840;GO:0022842;GO:0022841	5	Amillepora10169	0
"misfolded protein binding"	GO:0051787	2	Amillepora18458	0
"misfolded protein binding"	GO:0051787	2	Amillepora26857	1
"misfolded protein binding"	GO:0051787	2	Amillepora26872	0
"misfolded protein binding"	GO:0051787	2	Amillepora08393	0
"misfolded protein binding"	GO:0051787	2	Amillepora29521	0
"glucosyltransferase activity"	GO:0046527	5	Amillepora16986	0
"glucosyltransferase activity"	GO:0046527	5	Amillepora27430	0
"glucosyltransferase activity"	GO:0046527	5	Amillepora27453	0
"glucosyltransferase activity"	GO:0046527	5	Amillepora12966	0
"glucosyltransferase activity"	GO:0046527	5	Amillepora25206	0
"glucosyltransferase activity"	GO:0046527	5	Amillepora25209	1
"glucosyltransferase activity"	GO:0046527	5	Amillepora25208	0
