chr	start	end	name	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
chr10	78574	86389	Amillepora16770	454	233	0.513215859030837	0.44361702127659575	44.99466025897744	30.95238095238095	46.45294374288236	2.1801446736839503	100	0
chr10	56203	78368	Amillepora16769	2484	821	0.3305152979066023	0.22015877516302806	30.681072220749687	0	44.7060834613342	0.8969966659360478	100	0
chr10	129293	169672	Amillepora16774	5550	1171	0.210990990990991	0.16387586514847063	18.61999206999207	0	37.434282834831	0.502484911943843	100	0
chr10	116856	127301	Amillepora16773	1720	258	0.15	0.12622866011381273	13.217765922707784	0	32.59320441335003	0.7858919439935582	100	0
chr10	90029	110622	Amillepora16771	2545	880	0.34577603143418467	0.28383458646616544	29.50212197756402	0	43.06607336426071	0.8536726792092155	100	0
chr10	201101	205740	Amillepora16778	1845	46	0.024932249322493227	0.015574302401038288	1.3312040263259777	0	9.083243363691608	0.21146707830167233	100	0
chr10	171170	197798	Amillepora16777	7935	927	0.11682419659735349	0.09129689080434496	9.224679507288203	0	26.9365728319207	0.3023910086432748	100	0
chr10	207171	226252	Amillepora16779	2927	519	0.17731465664502905	0.13507625272331156	15.434881047282824	0	34.58004898090974	0.6391668505990578	100	0
chr10	270177	271009	Amillepora16782	174	12	0.06896551724137931	0.03051643192488263	4.042145593869731	0	16.91554484146912	1.2823641450388976	100	0
chr10	269654	270159	Amillepora16781	39	0	0	0	0	0	0	0	0	0
chr10	268976	269380	Amillepora16780	120	2	0.016666666666666666	0.007722007722007722	1.25	0	10.171842829823014	0.9285579615485412	100	0
chr10	271174	271481	Amillepora16783	135	4	0.02962962962962963	0.014598540145985401	1.975308641975308	0	12.724249164438842	1.0951290023747835	100	0
chr10	355437	358209	Amillepora16793	939	24	0.025559105431309903	0.013287612516073724	1.3494599117602313	0	9.497133458030154	0.30992723719154014	100	0
chr10	290446	301430	Amillepora16784	3067	90	0.029344636452559504	0.016835016835016835	1.7725169624419705	0	11.239315570510978	0.20294715952120151	100	0
chr10	374803	377778	Amillepora16795	644	233	0.36180124223602483	0.27421307506053266	31.48646513941545	0	43.97621247794024	1.7329055340423227	100	0
chr10	308237	314231	Amillepora16787	2199	71	0.03228740336516599	0.01858138288368769	1.8832891377229712	0	11.163514128580236	0.238061031855561	100	0
chr10	361003	374285	Amillepora16794	3340	244	0.07305389221556886	0.04473184622686284	4.932577485721198	0	19.206070907836374	0.33232674551333247	100	0
chr10	340754	348300	Amillepora16792	2335	85	0.03640256959314775	0.02214800492177887	2.219944937289691	0	12.643055328431968	0.26164268427494874	100	0
chr10	334969	340469	Amillepora16791	1356	61	0.04498525073746313	0.02363919129082426	2.4825344681539367	0	12.937666388369786	0.35133879175310023	100	0
chr10	323999	326833	Amillepora16790	488	11	0.022540983606557378	0.0160857908847185	1.628203877179287	0	11.124445845240087	0.5035800019542015	100	0
chr10	315180	319549	Amillepora16788	752	33	0.043882978723404256	0.025624599615631006	2.912133301096067	0	14.900314267361027	0.5433585534811431	100	0
chr10	319560	321966	Amillepora16789	422	12	0.02843601895734597	0.016569200779727095	1.9708766746681439	0	12.167485591186482	0.5923039312272295	100	0
chr10	301858	307307	Amillepora16785	1362	52	0.0381791483113069	0.025177887246852763	2.4013991800335415	0	12.77466835871438	0.34614740529607063	100	0
chr10	379820	394573	Amillepora16796	2895	472	0.1630397236614853	0.12962962962962962	13.821997423033693	0	32.94530998223087	0.6123071265392805	100	0
chr10	427276	433019	Amillepora16800	197	93	0.4720812182741117	0.43333333333333335	39.215340497066386	0	44.938944975663674	3.20176725908503	100	0
chr10	407702	418133	Amillepora16798	1585	573	0.3615141955835962	0.2962680883472963	32.47691425293949	0	44.84483392666785	1.1264133442149376	100	0
chr10	402308	407282	Amillepora16797	576	124	0.2152777777777778	0.1762081784386617	17.73244598765432	0	35.85500061905056	1.4939583591271013	100	0
chr10	447137	454446	Amillepora16801	1015	33	0.03251231527093596	0.017728999577880964	2.4063257486902807	0	14.071461751067696	0.44167843306888455	100	0
chr10	499826	500605	Amillepora16804	517	23	0.04448742746615087	0.022775800711743774	2.5558011728224495	0	12.671439565859604	0.557289274902315	100	0
