chr	start	end	name	nA	nG	nT	nC	nN	nCpG	nCCG	nCGG	nCGNR	nYNCG
chr1	15503	48020	Amillepora00001	9650	6431	9808	6629	0	1150	200	203	555	534
chr1	53066	54685	Amillepora00003	502	361	468	289	0	27	3	6	13	14
chr1	55176	69114	Amillepora00004	4456	2517	4159	2807	0	312	52	39	145	155
chr1	48411	49719	Amillepora00002	389	240	371	309	0	45	17	5	20	27
chr1	69380	73239	Amillepora00005	1253	747	1189	671	0	63	19	15	27	30
chr1	77282	84565	Amillepora00006	2106	1521	2160	1497	0	261	40	41	126	129
chr1	108799	142141	Amillepora00009	10309	6498	10581	5955	0	506	80	85	260	247
chr1	145359	153824	Amillepora00011	2558	1607	2852	1449	0	157	23	30	75	68
chr1	95361	108461	Amillepora00008	3826	2540	4001	2734	0	279	54	55	144	143
chr1	167575	172242	Amillepora00013	1004	1134	1272	1258	0	260	40	59	97	140
chr1	179424	195123	Amillepora00015	4748	3388	4774	2790	0	313	62	61	164	146
chr1	177098	178497	Amillepora00014	394	295	477	234	0	10	4	3	2	3
chr1	196541	199779	Amillepora00017	1017	560	1017	645	0	100	11	16	41	47
chr1	202227	206924	Amillepora00019	929	1012	1552	1205	0	200	36	41	83	108
chr1	201660	202136	Amillepora00018	83	89	153	152	0	23	2	3	4	14
chr1	334889	353519	Amillepora00028	5144	3825	6147	3515	0	545	93	100	262	280
chr1	417200	432402	Amillepora00032	4614	2943	5124	2522	0	185	28	31	75	96
chr1	441161	442441	Amillepora00034	386	294	346	255	0	26	3	5	11	10
chr1	443841	468430	Amillepora00035	7254	4836	8122	4378	0	444	70	70	208	217
chr1	395023	406930	Amillepora00029	3685	2365	3617	2241	0	406	80	76	175	184
chr1	475579	479386	Amillepora00036	1165	724	1329	590	0	39	5	7	18	21
chr1	245669	261261	Amillepora00022	4449	3243	4943	2958	0	521	84	93	249	248
chr1	288053	386099	Amillepora00027	28815	19734	31265	18233	0	2719	441	482	1300	1313
chr1	216187	220026	Amillepora00020	1161	797	1189	693	0	148	19	18	86	83
chr1	263467	276757	Amillepora00024	4146	2495	4358	2292	0	207	28	38	92	93
chr1	279971	288015	Amillepora00025	2613	1458	2638	1336	0	70	20	21	32	33
chr1	431411	435453	Amillepora00033	1199	774	1279	791	0	48	6	7	22	24
chr1	400191	409540	Amillepora00030	2956	1774	2805	1815	0	304	57	50	137	138
chr1	410769	412411	Amillepora00031	488	333	498	324	0	49	15	4	23	22
