chr	start	end	name	m-L5-s1_S1_dupsRemoved_host.bam	m-L5-s2_S2_dupsRemoved_host.bam	m-L5-t1_S3_dupsRemoved_host.bam	m-L5-t2_S4_dupsRemoved_host.bam	m-N12-s1_S5_dupsRemoved_host.bam	m-N12-s2_S6_dupsRemoved_host.bam	m-N12-t1_S7_dupsRemoved_host.bam	m-N12-t2_S8_dupsRemoved_host.bam	ub-L5-s1_S9_dupsRemoved_host.bam	ub-L5-s2_S10_dupsRemoved_host.bam	ub-L5-t1_S11_dupsRemoved_host.bam	ub-L5-t2_S12_dupsRemoved_host.bam	ub-N12-s1_S13_dupsRemoved_host.bam	ub-N12-s2_S14_dupsRemoved_host.bam	ub-N12-t1_S15_dupsRemoved_host.bam	ub-N12-t2_S16_dupsRemoved_host.bam
chr1	0	100000	chr1_0_100000	3609	2567	3619	3100	3000	3666	2704	3948	5618	6877	7515	5173	8638	6007	6101	4632
chr1	100000	200000	chr1_100000_200000	6582	5639	5898	5877	4102	4566	3836	4922	5258	6281	6636	4999	6105	4571	3497	2536
chr1	200000	300000	chr1_200000_300000	4319	3583	3942	3969	5331	6127	5167	6363	3728	4419	4858	3517	7440	5649	4835	3606
chr1	300000	400000	chr1_300000_400000	3711	2744	3486	3115	3124	3652	2903	4078	5107	6105	6929	4855	7585	5391	5511	4327
chr1	400000	500000	chr1_400000_500000	6651	5655	5832	6027	4872	5493	4496	5830	5462	6628	6950	4925	8169	5891	5157	3799
chr1	500000	600000	chr1_500000_600000	8790	7430	7578	7433	5868	6537	5362	7063	5296	6947	6814	5005	8213	6173	4495	3414
chr1	600000	700000	chr1_600000_700000	5640	4544	5085	4774	4187	4609	3800	5132	5903	6883	7393	5282	8768	6148	5344	3975
chr1	700000	800000	chr1_700000_800000	6433	5368	5797	5588	4811	5633	4842	6358	5613	6540	7023	5085	9019	6473	5411	4298
chr1	800000	900000	chr1_800000_900000	8381	7280	7365	7369	5994	6669	5947	7575	5246	6383	6331	4703	8053	6117	4129	3161
chr1	900000	1000000	chr1_900000_1000000	4047	2671	3870	3282	3499	4076	3222	4650	6583	7749	8684	6079	10396	7135	7549	5873
chr1	1000000	1100000	chr1_1000000_1100000	6494	5168	5832	5670	4607	5113	4433	6010	5757	7147	7399	5312	8923	6448	5664	4299
chr1	1100000	1200000	chr1_1100000_1200000	10488	8626	9637	9210	6616	7574	6328	8224	8437	10091	10607	7755	13180	9568	7985	6015
chr1	1200000	1300000	chr1_1200000_1300000	5192	3928	4848	4545	3801	4516	3547	4850	6673	7687	8287	5934	9833	7163	6551	4959
chr1	1300000	1400000	chr1_1300000_1400000	8635	7592	7563	7522	5893	6602	5723	7221	5561	6679	6888	5240	8709	6353	4908	3761
chr1	1400000	1500000	chr1_1400000_1500000	5422	4177	4846	4617	4002	4537	3777	4984	5807	6920	7450	5216	8517	6019	5626	4359
chr1	1500000	1600000	chr1_1500000_1600000	5689	4421	5155	4833	4148	4791	3885	5315	5972	6971	7504	5349	8870	6452	6024	4553
chr1	1600000	1700000	chr1_1600000_1700000	3749	2696	3846	3165	3347	3911	3136	4296	5696	6499	7164	5213	8527	5874	5834	4362
chr1	1700000	1800000	chr1_1700000_1800000	8863	8042	7917	8282	6032	6939	5931	7565	5215	6448	6385	4747	8189	6072	4298	3180
chr1	1800000	1900000	chr1_1800000_1900000	5465	4403	5005	4850	5029	5694	4843	6575	5378	6194	6887	4954	9855	7056	6784	5370
chr1	1900000	2000000	chr1_1900000_2000000	6850	6091	6068	6247	4667	5165	4172	5575	4592	5559	5590	4218	6674	4889	3358	2549
chr1	2000000	2100000	chr1_2000000_2100000	3466	2689	3262	3113	2465	2792	2279	3126	4092	4834	5369	3827	5970	4171	4472	3544
chr1	2100000	2200000	chr1_2100000_2200000	2513	1884	2301	2252	1866	2150	1711	2418	2858	3418	3779	2802	4485	3001	3395	2592
chr1	2200000	2300000	chr1_2200000_2300000	2746	1682	2685	2270	3325	3936	2997	4267	5108	5908	6696	4664	10570	7308	7848	6115
chr1	2300000	2400000	chr1_2300000_2400000	5907	4761	5289	5180	4798	5334	4675	6426	5243	6124	6585	4796	9044	6395	5935	4500
chr1	2400000	2500000	chr1_2400000_2500000	2695	1469	2553	2021	2374	2943	2012	2799	5614	6699	7169	4826	8029	5633	5838	4756
chr1	2500000	2600000	chr1_2500000_2600000	4094	3088	3922	3616	3076	3527	3028	3941	5193	6098	6912	4800	5883	4242	4187	3427
chr1	2600000	2700000	chr1_2600000_2700000	2222	1699	2018	1912	1618	1841	1494	2058	2331	2870	3103	2289	3345	2379	2511	1964
chr1	2700000	2800000	chr1_2700000_2800000	4197	3389	3869	3784	3221	3655	3248	4199	4285	5089	5573	4000	5765	4319	4120	3168
chr1	2800000	2900000	chr1_2800000_2900000	5930	4508	5318	4876	4437	5047	4408	6000	5904	7177	7695	5507	8826	6413	6077	4553
chr1	2900000	3000000	chr1_2900000_3000000	2563	1833	2497	2271	2313	2645	2238	3108	3219	3895	4135	3021	5357	3784	3809	2967
chr1	3000000	3100000	chr1_3000000_3100000	2407	1793	2213	1998	2103	2485	1943	2820	3272	3861	4262	3001	5185	3593	3711	2980
chr1	3100000	3200000	chr1_3100000_3200000	2722	2011	2562	2344	2442	2812	2300	3161	3818	4335	5010	3531	5971	4330	4626	3492
chr1	3200000	3300000	chr1_3200000_3300000	2529	1758	2420	2197	2309	2698	2150	3077	3723	4334	4987	3551	6345	4515	4630	3725
chr1	3300000	3400000	chr1_3300000_3400000	1805	1434	1738	1717	1690	2000	1595	2073	2238	2519	2896	2064	3932	2823	2826	2119
chr1	3400000	3500000	chr1_3400000_3500000	2870	2144	2733	2528	2974	3439	2662	3799	3562	4270	4637	3349	7578	5561	5472	4232
chr1	3500000	3600000	chr1_3500000_3600000	2392	1390	2276	1962	2079	2502	1947	2840	4384	4968	5961	4177	6453	4523	5422	4195
chr1	3600000	3700000	chr1_3600000_3700000	2863	2227	2651	2550	2375	2659	2211	3034	3121	3631	3901	2855	5024	3770	3523	2709
