chr	start	end	name	m-L5-s1_S1	m-L5-s2_S2	m-L5-t1_S3	m-L5-t2_S4	m-N12-s1_S5	m-N12-s2_S6	m-N12-t1_S7	m-N12-t2_S8	ub-L5-s1_S9	ub-L5-s2_S10	ub-L5-t1_S11	ub-L5-t2_S12	ub-N12-s1_S13	ub-N12-s2_S14	ub-N12-t1_S15	ub-N12-t2_S16	
chr10	78324	78824	Amillepora16770	12	11	18	22	16	20	21	22	22	33	34	23	44	39	51	31
chr10	78118	78618	Amillepora16769	13	14	24	15	16	22	17	22	29	44	42	22	53	34	42	33
chr10	169422	169922	Amillepora16774	20	7	18	14	18	28	17	27	28	33	49	43	65	41	48	39
chr10	127051	127551	Amillepora16773	17	15	14	12	15	18	14	19	34	35	45	25	56	36	33	18
chr10	110372	110872	Amillepora16771	16	5	9	12	8	18	12	15	36	39	38	36	72	29	32	25
chr10	200851	201351	Amillepora16778	19	14	18	19	17	15	22	28	37	43	43	40	58	40	54	30
chr10	197548	198048	Amillepora16777	20	12	26	19	17	27	20	39	41	36	54	24	44	35	41	38
chr10	226002	226502	Amillepora16779	21	18	18	17	25	20	21	24	36	36	48	25	61	42	40	25
chr10	270759	271259	Amillepora16782	17	9	14	8	14	12	16	28	19	22	32	17	24	26	16	17
chr10	269909	270409	Amillepora16781	10	3	8	12	3	8	10	13	8	11	21	8	15	16	6	10
chr10	269130	269630	Amillepora16780	15	3	13	12	11	10	17	20	22	20	20	14	30	26	19	9
chr10	271231	271731	Amillepora16783	10	12	12	7	12	20	14	26	34	25	36	20	35	26	31	18
chr10	355187	355687	Amillepora16793	19	5	16	12	18	15	19	25	43	40	46	19	54	39	50	33
chr10	290196	290696	Amillepora16784	15	11	19	14	19	20	17	29	27	48	54	41	67	42	38	28
chr10	377528	378028	Amillepora16795	34	23	22	18	30	28	24	32	39	31	49	33	62	47	33	25
chr10	313981	314481	Amillepora16787	18	8	17	14	24	15	11	20	35	49	40	26	54	52	46	37
chr10	374035	374535	Amillepora16794	14	12	16	22	14	21	16	18	44	40	41	26	53	46	39	24
chr10	348050	348550	Amillepora16792	13	9	15	16	12	22	12	25	39	55	51	33	62	38	44	36
chr10	340219	340719	Amillepora16791	9	6	12	13	16	18	9	12	25	32	51	25	55	20	50	27
chr10	326583	327083	Amillepora16790	10	7	11	4	13	31	15	16	25	26	29	18	46	36	47	29
chr10	319299	319799	Amillepora16788	3	4	9	6	10	12	5	9	21	20	21	12	23	22	22	17
chr10	321716	322216	Amillepora16789	13	7	16	13	21	20	20	15	30	35	45	33	51	41	49	50
chr10	307057	307557	Amillepora16785	11	12	13	5	10	23	14	23	46	46	61	38	71	42	45	43
chr10	379570	380070	Amillepora16796	19	15	19	16	20	17	12	26	35	44	49	41	53	39	40	36
chr10	427026	427526	Amillepora16800	16	7	15	10	6	19	7	5	15	13	34	12	24	16	20	12
chr10	407452	407952	Amillepora16798	30	7	18	26	16	23	16	25	33	45	52	33	68	45	50	23
chr10	407032	407532	Amillepora16797	24	5	9	14	22	21	21	20	35	48	47	26	55	43	42	29
chr10	454196	454696	Amillepora16801	6	7	10	2	6	8	3	5	14	19	20	11	26	8	5	10
chr10	499576	500076	Amillepora16804	14	4	13	13	19	26	13	22	34	38	39	39	55	30	41	36
chr10	551799	552299	Amillepora16812	26	9	17	10	12	22	9	14	42	40	31	24	55	42	28	23
chr10	523967	524467	Amillepora16808	28	9	18	10	13	25	13	24	32	55	43	24	45	34	35	28
chr10	578511	579011	Amillepora16815	16	9	6	12	8	11	6	13	34	36	30	22	39	33	24	32
chr10	508778	509278	Amillepora16806	12	16	27	12	17	17	22	35	36	53	52	37	58	33	45	31
chr10	560343	560843	Amillepora16813	21	13	19	26	18	24	21	35	38	38	47	37	58	35	50	38
chr10	523888	524388	Amillepora16807	22	13	17	13	16	24	16	32	27	54	44	22	43	34	32	29
chr10	577569	578069	Amillepora16814	18	12	16	19	15	20	16	20	37	52	36	31	56	40	40	28
