chr	start	end	name	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
chr10	78574	86389	Amillepora16770	485	243	0.5010309278350515	0.4104803493449782	44.11356570119457	20	46.914262982145374	2.1302669457416377	100	0
chr10	56203	78368	Amillepora16769	2607	845	0.3241273494438051	0.21451013996001142	29.243667724680382	0	43.62058107422189	0.8543207032052348	100	0
chr10	129293	169672	Amillepora16774	5803	1258	0.21678442185076685	0.16408032861706984	18.78801058018704	0	37.45851545306606	0.4917272500359935	100	0
chr10	116856	127301	Amillepora16773	1819	301	0.16547553600879605	0.13218839448347644	14.041510685270993	0	32.97165487259412	0.773079924790472	100	0
chr10	90029	110622	Amillepora16771	2778	988	0.3556515478761699	0.2832008120453392	29.85712791328342	0	42.964274458563324	0.815157186198578	100	0
chr10	201101	205740	Amillepora16778	1910	62	0.032460732984293195	0.017287234042553192	1.494078783345799	0	9.235336319339915	0.21131777630346668	100	0
chr10	171170	197798	Amillepora16777	8263	958	0.11593852111823792	0.08906847028855022	8.986928212239842	0	26.467956775341502	0.2911732945056753	100	0
chr10	207171	226252	Amillepora16779	3035	533	0.1756177924217463	0.13216700970302853	14.917732276875604	0	34.02021275953983	0.6175294552277727	100	0
chr10	270177	271009	Amillepora16782	159	11	0.06918238993710692	0.03183023872679045	3.8739143456124583	0	16.75685332876018	1.3289049104019606	100	0
chr10	269654	270159	Amillepora16781	41	1	0.024390243902439025	0.01694915254237288	0.8130081300813	0	5.20579206295353	0.8130081300813	33.3333333333333	0
chr10	268976	269380	Amillepora16780	139	6	0.04316546762589928	0.021897810218978103	2.3021582733812944	0	12.909002219508297	1.094927277580112	100	0
chr10	271174	271481	Amillepora16783	169	6	0.03550295857988166	0.022222222222222223	3.057199211045365	0	16.127879006934783	1.2406060774565213	100	0
chr10	355437	358209	Amillepora16793	950	23	0.024210526315789474	0.0125	1.4334586466165413	0	10.22003224186817	0.33158163085561576	100	0
chr10	290446	301430	Amillepora16784	3244	106	0.032675709001233046	0.01834862385321101	1.9517473039359599	0	11.823684988341933	0.20759286744471353	100	0
chr10	374803	377778	Amillepora16795	682	247	0.3621700879765396	0.24896019013666074	30.340385421030582	0	42.759489006168614	1.637345457357197	100	0
chr10	308237	314231	Amillepora16787	2254	70	0.031055900621118012	0.01607078367641748	1.7782672075041197	0	10.86276136404905	0.22880382639417732	100	0
chr10	361003	374285	Amillepora16794	3539	277	0.07827069793727041	0.04599070654116526	5.126762111079715	0	19.438144651634655	0.3267491965397211	100	0
chr10	340754	348300	Amillepora16792	2449	90	0.03674969375255206	0.02054794520547945	1.9250811798790566	0	10.570060164563552	0.21359105788675983	100	0
chr10	334969	340469	Amillepora16791	1453	63	0.043358568479008944	0.024760136180748994	2.302078895334229	0	11.89962583324708	0.31217670954823257	100	0
chr10	323999	326833	Amillepora16790	556	13	0.023381294964028777	0.013769363166953529	1.5604659129838987	0	10.840565616838992	0.45974238738360723	100	0
chr10	315180	319549	Amillepora16788	812	30	0.03694581280788178	0.01969796454366382	2.097701149425287	0	12.122882278861228	0.42542976640308927	100	0
chr10	319560	321966	Amillepora16789	481	11	0.02286902286902287	0.01314459049544995	1.0031185031185028	0	7.692742610135155	0.35075887099795583	100	0
chr10	301858	307307	Amillepora16785	1434	73	0.05090655509065551	0.02717101758124667	3.058986960660601	0	14.484338741557824	0.38249353353226734	100	0
chr10	379820	394573	Amillepora16796	3084	503	0.16309987029831388	0.13154593916588272	13.493388816832397	0	32.38409636507269	0.5831423712023667	100	0
chr10	427276	433019	Amillepora16800	198	91	0.4595959595959596	0.4004106776180698	36.94452222861314	0	43.922145685503516	3.1214109746749443	100	0
chr10	407702	418133	Amillepora16798	1678	565	0.3367103694874851	0.2565419417950599	29.77820087474438	0	43.63074351546777	1.0651153305111705	100	0
chr10	402308	407282	Amillepora16797	626	117	0.1869009584664537	0.1442241968557758	15.25502630135218	0	33.72057084529039	1.3477450686904122	100	0
chr10	447137	454446	Amillepora16801	1122	55	0.049019607843137254	0.02771855010660981	3.198971507795037	0	15.39964530318988	0.45974211505643203	100	0
chr10	499826	500605	Amillepora16804	536	17	0.03171641791044776	0.016152716593245228	1.4619610281923712	0	9.03445442526315	0.3902289960169309	100	0
chr10	552049	557208	Amillepora16812	323	157	0.48606811145510836	0.5126903553299492	44.664602683178536	0	47.76540573139354	2.6577382692812312	100	0
chr10	524217	530628	Amillepora16808	578	366	0.6332179930795848	0.6084070796460177	57.509659698241016	100	46.52964298969727	1.9353780049531857	100	0
chr10	578761	583442	Amillepora16815	1266	41	0.03238546603475513	0.01816911250873515	1.7262902097025319	0	10.762299861912071	0.30247412945098806	100	0
chr10	509028	519995	Amillepora16806	530	183	0.3452830188679245	0.30997304582210244	30.27358490566038	0	43.708874283254254	1.8985921751066286	100	0
chr10	557392	560593	Amillepora16813	409	165	0.4034229828850856	0.335423197492163	35.675573407847246	0	45.64281805216699	2.2568921009570717	100	0
chr10	520681	524138	Amillepora16807	249	87	0.3493975903614458	0.28227571115973743	32.91499330655957	0	46.03943910937433	2.9176309044155535	100	0
chr10	561324	577819	Amillepora16814	4491	402	0.0895123580494322	0.056021440304313996	7.038992205992874	0	24.042559195377287	0.3587642552431536	100	0
chr10	543127	551955	Amillepora16811	1688	380	0.22511848341232227	0.18775621754577754	19.483586286015196	0	37.794625859953385	0.9199068003141038	100	0
chr10	502299	508613	Amillepora16805	2399	86	0.0358482701125469	0.019270298047276466	1.6450291807977608	0	8.438115671179178	0.17227820990795137	100	0
chr10	530873	534770	Amillepora16809	334	112	0.33532934131736525	0.3463949843260188	29.251497005988025	0	43.33204690576636	2.3710241155285128	100	0
