chr	start	stop	name	mrF-L5-s1_S10	mrF-L5-s2_S11	mrF-L5-s3_S12	mrF-L5-t1_S7	mrF-L5-t2_S8	mrF-L5-t3_S9	mrF-N12-s1_S4	mrF-N12-s2_S5	mrF-N12-s3_S6	mrF-N12-t1_S1	mrF-N12-t2_S2	mrF-N12-t3_S3	mrM-L5-s1_S22	mrM-L5-s2_S23	mrM-L5-s3_S24	mrM-L5-t1_S19	mrM-L5-t2_S20	mrM-L5-t3_S21	mrM-N12-s1_S16	mrM-N12-s2_S17	mrM-N12-s3_S18	mrM-N12-t1_S13	mrM-N12-t2_S14	mrM-N12-t3_S15	
chr10	77574	78574	Amillepora16770	8	5	2	0	0	0	6	0	0	0	0	2	6	6	2	3	2	1	8	0	0	1	1	4
chr10	78368	79368	Amillepora16769	17	9	3	1	1	2	9	2	1	1	2	3	13	9	7	8	5	12	10	5	9	2	4	6
chr10	169672	170672	Amillepora16774	22	6	0	1	2	0	3	0	1	1	2	0	16	7	1	7	5	14	9	2	6	4	11	7
chr10	127301	128301	Amillepora16773	9	3	0	2	0	0	2	2	0	0	0	0	6	2	1	7	1	4	3	0	0	1	2	3
chr10	110622	111622	Amillepora16771	8	3	0	0	1	2	0	0	0	1	1	1	14	17	8	10	4	14	21	8	3	9	7	13
chr10	200101	201101	Amillepora16778	6	1	2	0	0	0	1	0	0	1	0	0	5	3	1	2	2	4	8	0	1	1	0	0
chr10	197798	198798	Amillepora16777	1	0	0	0	0	0	1	0	0	0	1	0	6	5	2	3	1	2	3	0	2	1	3	0
chr10	226252	227252	Amillepora16779	0	0	0	1	0	0	1	4	0	4	3	4	3	1	0	2	0	3	9	2	0	1	1	4
chr10	271009	272009	Amillepora16782	169	37	3	13	3	12	30	2	2	13	24	9	16	5	4	6	3	8	6	2	3	8	6	7
chr10	270159	271159	Amillepora16781	53	26	0	5	3	5	11	1	0	5	10	5	10	5	6	4	4	5	2	0	1	3	7	6
chr10	269380	270380	Amillepora16780	78	26	2	8	1	2	17	0	1	1	8	10	13	8	6	7	5	5	4	0	1	1	10	7
chr10	271481	272481	Amillepora16783	174	30	6	15	0	12	24	0	1	6	13	8	18	5	4	8	6	10	3	2	3	6	6	7
chr10	354437	355437	Amillepora16793	1	2	0	0	0	0	2	0	0	0	0	2	8	3	1	2	1	0	0	1	1	0	1	0
chr10	289446	290446	Amillepora16784	6	1	0	0	0	0	2	0	0	0	2	0	13	3	2	4	0	2	6	1	1	0	0	6
chr10	377778	378778	Amillepora16795	11	2	2	0	0	0	6	0	0	0	2	4	43	21	26	29	13	32	27	21	16	20	17	27
chr10	314231	315231	Amillepora16787	48	5	0	0	0	2	10	2	0	0	4	2	1	0	3	3	0	0	5	1	0	0	1	2
