chr	start	end	name	m-L5-s1_S1	m-L5-s2_S2	m-L5-t1_S3	m-L5-t2_S4	m-N12-s1_S5	m-N12-s2_S6	m-N12-t1_S7	m-N12-t2_S8	ub-L5-s1_S9	ub-L5-s2_S10	ub-L5-t1_S11	ub-L5-t2_S12	ub-N12-s1_S13	ub-N12-s2_S14	ub-N12-t1_S15	ub-N12-t2_S16	
Sc0000015	127316	128632	Amillepora27583	423	424	348	420	412	436	423	494	36	62	37	26	130	124	26	21
Sc0000015	135754	143513	Amillepora27584	1021	956	929	977	782	805	915	1060	482	676	634	517	861	647	394	323
Sc0000015	164075	169753	Amillepora27585	213	176	172	172	127	159	128	169	149	225	220	145	177	129	108	78
Sc0000015	187208	188861	Amillepora27586	21	8	19	7	3	7	2	2	32	30	35	33	8	10	13	4
Sc0000015	188964	192716	Amillepora27587	174	201	143	220	98	101	88	82	71	63	104	69	81	52	48	35
Sc0000015	239744	240572	Amillepora27589	34	12	35	39	5	6	5	11	81	105	101	79	36	31	18	10
Sc0000015	242193	242838	Amillepora27590	46	15	37	23	3	3	0	5	78	88	108	68	12	3	9	6
Sc0000015	244237	252689	Amillepora27591	471	300	438	394	76	94	92	119	805	982	1121	750	162	95	102	94
Sc0000015	253669	260036	Amillepora27592	319	156	309	213	39	28	38	38	683	743	840	561	62	54	41	33
Sc0000015	268150	273299	Amillepora27595	247	152	251	232	11	11	12	19	602	704	753	512	27	13	18	13
Sc0000015	289616	289990	Amillepora27596	35	45	35	49	18	20	24	31	29	27	38	35	18	9	14	9
Sc0000015	290051	292249	Amillepora27597	103	86	95	103	53	57	51	64	118	159	182	117	71	54	36	38
Sc0000015	325952	331205	Amillepora27598	84	58	76	73	106	100	82	105	206	242	288	166	265	183	193	143
Sc0000015	331212	336469	Amillepora27599	130	111	132	124	127	136	157	168	134	189	199	142	225	182	163	115
Sc0000015	336624	345981	Amillepora27600	455	310	413	343	462	495	434	582	552	688	756	470	1010	750	748	566
Sc0000015	348251	350356	Amillepora27601	112	68	105	98	120	122	110	162	149	156	191	118	213	156	163	128
Sc0000015	359337	377626	Amillepora27602	1967	1941	1677	2053	874	991	767	1090	1140	1324	1430	999	1674	1264	1144	932
Sc0000015	365907	370266	Amillepora27604	658	742	472	715	151	161	146	183	24	41	29	40	43	39	22	19
Sc0000015	402371	413812	Amillepora27605	368	232	378	292	346	414	306	417	729	845	873	630	1153	855	812	602
Sc0000015	428912	431494	Amillepora27606	27	21	23	39	88	96	63	104	46	65	58	56	252	164	206	149
Sc0000015	433511	436464	Amillepora27607	67	37	64	59	84	101	64	109	108	111	141	121	232	176	180	149
Sc0000015	483994	494721	Amillepora27609	255	187	265	211	226	249	215	251	438	560	666	402	735	485	508	403
Sc0000015	508283	513866	Amillepora27611	67	35	62	48	126	166	117	145	172	183	205	142	464	309	393	246
Sc0000015	516845	519602	Amillepora27612	10	2	7	10	10	8	7	8	22	25	20	9	45	29	21	15
Sc0000015	522161	525867	Amillepora27613	285	257	240	264	243	243	259	355	206	267	290	204	299	210	226	178
Sc0000015	536893	555784	Amillepora27614	683	558	627	638	455	551	481	683	711	876	1012	708	896	635	682	515
Sc0000015	571207	574392	Amillepora27615	504	547	433	564	433	520	413	459	140	170	192	145	138	137	96	82
Sc0000015	587929	590017	Amillepora27617	131	129	104	139	145	177	144	187	98	113	131	98	156	122	88	79
Sc0000015	595670	607741	Amillepora27618	286	154	263	215	207	245	166	228	558	619	708	503	645	399	424	308
Sc0000015	631820	649934	Amillepora27619	524	300	450	381	485	555	370	530	970	1127	1328	895	1515	1060	1095	845
Sc0000015	659875	668980	Amillepora27620	251	136	237	202	225	285	198	333	419	511	594	402	717	527	531	441
Sc0000015	672604	680144	Amillepora27621	240	135	187	155	232	248	209	236	376	446	535	353	719	432	481	400
Sc0000015	690343	691380	Amillepora27622	54	42	40	33	37	44	26	35	33	61	53	46	41	24	26	29
Sc0000015	696487	703661	Amillepora27623	219	148	171	184	163	174	142	202	251	295	309	236	407	315	323	258
Sc0000015	731169	732906	Amillepora27624	79	58	69	68	85	78	69	85	89	106	118	74	70	58	48	30
Sc0000015	741375	758634	Amillepora27625	69	59	63	70	51	60	46	69	87	69	101	79	125	83	94	73
Sc0000015	763189	764737	Amillepora27626	152	127	124	126	76	105	73	120	108	131	156	114	140	111	87	78
Sc0000015	769185	780157	Amillepora27627	7	1	3	3	204	228	189	233	5	6	4	5	261	220	142	97
Sc0000015	781085	801928	Amillepora27628	50	32	50	49	48	73	58	67	77	85	99	60	133	88	112	88
Sc0000015	821987	823068	Amillepora27629	7	3	8	6	15	12	11	13	11	19	19	9	30	15	19	16
Sc0000015	834708	836894	Amillepora27630	111	90	103	81	54	67	49	67	87	105	109	87	52	46	37	28
Sc0000015	836704	839969	Amillepora27632	119	90	111	94	60	64	52	63	116	138	141	108	108	73	69	50
Sc0000015	868208	888392	Amillepora27634	571	307	534	441	405	466	402	526	924	994	1079	796	1088	832	844	667
Sc0000015	902456	903481	Amillepora27635	7	6	11	5	63	68	40	69	20	19	17	20	125	87	65	57
Sc0000015	903484	912834	Amillepora27636	401	342	363	337	248	289	268	325	267	319	389	289	470	339	328	260
Sc0000015	906744	909158	Amillepora27637	225	195	186	200	82	121	94	142	49	51	45	59	68	55	30	15
Sc0000015	913899	914575	Amillepora27639	11	7	12	12	14	11	19	13	26	14	30	27	39	20	20	15
Sc0000015	922209	923504	Amillepora27640	178	206	143	180	26	32	19	35	26	40	49	35	37	34	43	30
Sc0000015	924100	926254	Amillepora27641	267	223	207	206	15	19	17	20	46	71	60	48	58	36	51	28
Sc0000015	938518	941182	Amillepora27642	112	81	137	128	174	224	219	284	166	198	193	180	352	298	281	208
Sc0000015	944720	946165	Amillepora27643	27	21	31	25	45	47	39	54	51	97	115	67	126	100	102	100
Sc0000015	947602	954630	Amillepora27644	425	367	439	422	515	569	556	691	546	699	725	558	847	650	665	554
Sc0000015	989225	993693	Amillepora27648	159	87	125	120	235	304	230	378	266	311	373	246	768	549	511	394
