chr	start	end	name	m-L5-s1_S1	m-L5-s2_S2	m-L5-t1_S3	m-L5-t2_S4	m-N12-s1_S5	m-N12-s2_S6	m-N12-t1_S7	m-N12-t2_S8	ub-L5-s1_S9	ub-L5-s2_S10	ub-L5-t1_S11	ub-L5-t2_S12	ub-N12-s1_S13	ub-N12-s2_S14	ub-N12-t1_S15	ub-N12-t2_S16	
chr1	1951487	1952412	RC_1	22	29	25	14	29	44	32	36	26	24	15	17	60	26	16	11
chr1	1951487	1952412	RC_2	22	29	25	14	29	44	32	36	26	24	15	17	60	26	16	11
chr1	1952639	1952809	RC_3	11	14	11	7	19	22	21	19	4	5	2	5	7	12	1	1
chr1	1952639	1952809	RC_4	11	14	11	7	19	22	21	19	4	5	2	5	7	12	1	1
chr1	2484254	2484364	RC_5	0	1	1	0	4	6	4	5	3	7	5	1	10	10	8	5
chr1	2484254	2484364	RC_6	0	1	1	0	4	6	4	5	3	7	5	1	10	10	8	5
chr1	2600422	2600736	RC_7	21	5	9	14	9	13	7	8	20	29	27	23	22	12	19	12
chr1	2600422	2600736	RC_8	21	5	9	14	9	13	7	8	20	29	27	23	22	12	19	12
chr1	4187435	4187798	RC_9	19	24	26	18	13	14	15	20	29	23	33	25	38	24	14	13
chr1	4187435	4187798	RC_10	19	24	26	18	13	14	15	20	29	23	33	25	38	24	14	13
chr1	6495964	6496030	RC_11	9	11	13	7	19	17	19	31	16	9	11	10	32	31	12	10
chr1	6495964	6496030	RC_12	9	11	13	7	19	17	19	31	16	9	11	10	32	31	12	10
chr1	6503061	6503127	RC_13	12	8	12	14	16	16	24	23	13	15	14	13	33	18	15	9
chr1	6503061	6503127	RC_14	12	8	12	14	16	16	24	23	13	15	14	13	33	18	15	9
chr1	6947062	6951737	RC_15	177	115	162	154	127	146	120	167	193	265	231	178	265	221	147	118
chr1	6947062	6951737	RC_16	177	115	162	154	127	146	120	167	193	265	231	178	265	221	147	118
chr1	6961514	6965667	RC_17	240	195	245	230	188	209	168	226	237	275	298	223	310	246	180	128
chr1	6961514	6965667	RC_18	240	195	245	230	188	209	168	226	237	275	298	223	310	246	180	128
chr1	6993003	6994011	RC_19	40	29	36	29	21	19	21	29	26	24	37	20	23	20	25	26
chr1	6993003	6994011	RC_20	40	29	36	29	21	19	21	29	26	24	37	20	23	20	25	26
chr1	8341016	8342581	RC_21	48	35	36	39	48	38	42	65	62	54	64	43	91	56	51	41
chr1	8341016	8342581	RC_22	48	35	36	39	48	38	42	65	62	54	64	43	91	56	51	41
chr1	10402449	10405980	RC_23	188	158	171	193	190	229	193	258	235	289	275	216	455	298	279	220
chr1	10402449	10405980	RC_24	188	158	171	193	190	229	193	258	235	289	275	216	455	298	279	220
chr1	15385614	15386232	RC_25	28	15	27	18	18	28	16	38	46	61	59	38	66	56	30	15
chr1	15385614	15386232	RC_26	28	15	27	18	18	28	16	38	46	61	59	38	66	56	30	15
chr1	16786157	16786632	RC_27	21	12	12	12	22	14	15	29	20	18	22	11	30	24	13	6
chr1	16786157	16786632	RC_28	21	12	12	12	22	14	15	29	20	18	22	11	30	24	13	6
chr1	16786692	16787663	RC_29	80	73	54	55	45	57	46	64	28	46	41	20	52	55	25	14
chr1	16786692	16787663	RC_30	80	73	54	55	45	57	46	64	28	46	41	20	52	55	25	14
chr1	16805550	16807029	RC_31	30	24	24	15	7	4	4	2	17	25	22	25	6	7	1	5
chr1	16805550	16807029	RC_32	30	24	24	15	7	4	4	2	17	25	22	25	6	7	1	5
chr1	16827021	16827496	RC_33	26	14	20	19	10	19	9	19	17	13	13	10	20	16	10	9
chr1	16827021	16827496	RC_34	26	14	20	19	10	19	9	19	17	13	13	10	20	16	10	9
