chr	start	end	name	m-L5-s1_S1	m-L5-s2_S2	m-L5-t1_S3	m-L5-t2_S4	m-N12-s1_S5	m-N12-s2_S6	m-N12-t1_S7	m-N12-t2_S8	ub-L5-s1_S9	ub-L5-s2_S10	ub-L5-t1_S11	ub-L5-t2_S12	ub-N12-s1_S13	ub-N12-s2_S14	ub-N12-t1_S15	ub-N12-t2_S16	
chr1	248329	248569	SINE_1	8	9	11	14	9	8	13	15	8	11	18	10	16	12	14	11
chr1	248329	248569	SINE_2	8	9	11	14	9	8	13	15	8	11	18	10	16	12	14	11
chr1	735041	735289	SINE_3	39	26	26	24	23	25	27	34	15	11	20	22	23	18	14	0
chr1	735041	735289	SINE_4	39	26	26	24	23	25	27	34	15	11	20	22	23	18	14	0
chr1	807043	807260	SINE_5	10	12	9	6	14	19	21	25	19	14	20	18	23	15	11	5
chr1	807043	807260	SINE_6	10	12	9	6	14	19	21	25	19	14	20	18	23	15	11	5
chr1	873047	873234	SINE_7	10	6	11	8	10	12	9	11	21	16	14	12	28	14	11	11
chr1	873047	873234	SINE_8	10	6	11	8	10	12	9	11	21	16	14	12	28	14	11	11
chr1	884546	884741	SINE_9	15	15	14	13	13	22	26	25	12	20	21	12	22	16	4	10
chr1	884546	884741	SINE_10	15	15	14	13	13	22	26	25	12	20	21	12	22	16	4	10
chr1	912642	912790	SINE_11	7	3	8	5	4	4	5	12	19	17	18	9	26	15	15	23
chr1	912642	912790	SINE_12	7	3	8	5	4	4	5	12	19	17	18	9	26	15	15	23
chr1	1199139	1199328	SINE_13	5	8	8	10	5	8	3	8	12	9	23	6	11	12	10	12
chr1	1199139	1199328	SINE_14	5	8	8	10	5	8	3	8	12	9	23	6	11	12	10	12
chr1	1340231	1340490	SINE_15	49	41	44	47	30	30	39	52	34	39	32	18	34	35	22	13
chr1	1340231	1340490	SINE_16	49	41	44	47	30	30	39	52	34	39	32	18	34	35	22	13
chr1	1586163	1586248	SINE_17	6	0	4	2	1	9	4	8	10	8	10	4	11	10	8	8
chr1	1586163	1586248	SINE_18	6	0	4	2	1	9	4	8	10	8	10	4	11	10	8	8
chr1	1974508	1974740	SINE_19	11	10	16	7	9	9	9	11	20	20	26	22	25	16	16	11
chr1	1974508	1974740	SINE_20	11	10	16	7	9	9	9	11	20	20	26	22	25	16	16	11
chr1	2172439	2172647	SINE_21	1	0	0	0	3	2	1	3	0	1	3	0	4	4	6	5
chr1	2172439	2172647	SINE_22	1	0	0	0	3	2	1	3	0	1	3	0	4	4	6	5
chr1	2255385	2255577	SINE_23	2	1	3	0	6	8	12	16	4	3	3	1	29	22	21	17
chr1	2255385	2255577	SINE_24	2	1	3	0	6	8	12	16	4	3	3	1	29	22	21	17
chr1	2814860	2814996	SINE_25	6	4	6	3	10	8	12	18	6	10	10	5	13	5	8	4
chr1	2814860	2814996	SINE_26	6	4	6	3	10	8	12	18	6	10	10	5	13	5	8	4
chr1	2815376	2815644	SINE_27	20	14	22	24	32	26	28	40	24	34	30	24	44	35	21	13
chr1	2815376	2815644	SINE_28	20	14	22	24	32	26	28	40	24	34	30	24	44	35	21	13
chr1	2848735	2848824	SINE_29	12	13	8	12	6	13	14	17	13	6	6	10	15	11	5	4
chr1	2848735	2848824	SINE_30	12	13	8	12	6	13	14	17	13	6	6	10	15	11	5	4
chr1	3749062	3749285	SINE_31	9	6	7	4	7	7	7	9	13	9	9	13	9	12	10	5
chr1	3749062	3749285	SINE_32	9	6	7	4	7	7	7	9	13	9	9	13	9	12	10	5
chr1	4276170	4276217	SINE_33	2	2	6	3	14	19	12	15	3	4	4	3	8	3	8	5
chr1	4276170	4276217	SINE_34	2	2	6	3	14	19	12	15	3	4	4	3	8	3	8	5
chr1	4691226	4691402	SINE_35	1	1	0	5	9	7	6	5	5	11	9	8	18	18	17	16
chr1	4691226	4691402	SINE_36	1	1	0	5	9	7	6	5	5	11	9	8	18	18	17	16
chr1	4754724	4754978	SINE_37	11	4	10	9	11	8	12	9	7	6	11	9	12	10	2	4
chr1	4754724	4754978	SINE_38	11	4	10	9	11	8	12	9	7	6	11	9	12	10	2	4
chr1	4757549	4757740	SINE_39	4	6	6	3	7	6	1	4	11	11	21	7	16	9	5	11
chr1	4757549	4757740	SINE_40	4	6	6	3	7	6	1	4	11	11	21	7	16	9	5	11
chr1	4780695	4780940	SINE_41	26	28	24	26	25	17	21	36	12	15	11	17	27	21	4	4
chr1	4780695	4780940	SINE_42	26	28	24	26	25	17	21	36	12	15	11	17	27	21	4	4
chr1	4788896	4789051	SINE_43	3	0	7	5	2	3	1	5	8	12	7	12	1	4	2	1
chr1	4788896	4789051	SINE_44	3	0	7	5	2	3	1	5	8	12	7	12	1	4	2	1
chr1	4833641	4833862	SINE_45	6	7	5	8	8	6	5	9	7	9	11	10	21	16	21	17
chr1	4833641	4833862	SINE_46	6	7	5	8	8	6	5	9	7	9	11	10	21	16	21	17
