chr	start	end	name	nA	nG	nT	nC	nN	nCpG	nCCG	nCGG	nCGNR	nYNCG
chr1	46614	46675	Amillepora00001-RA:three_prime_utr	20	16	12	14	0	2	1	0	2	1
chr1	46904	48020	Amillepora00001-RA:three_prime_utr	367	206	331	213	0	34	5	3	22	20
chr1	56239	56346	Amillepora00004-RA:three_prime_utr	26	20	39	23	0	4	0	0	2	2
chr1	55566	55907	Amillepora00004-RA:three_prime_utr	84	53	121	84	0	7	1	0	1	3
chr1	55176	55457	Amillepora00004-RA:three_prime_utr	90	44	95	53	0	3	1	2	2	1
chr1	72849	73239	Amillepora00005-RA:three_prime_utr	104	83	128	76	0	13	4	3	5	6
chr1	80910	81546	Amillepora00006-RA:three_prime_utr	170	144	202	121	0	18	1	5	11	11
chr1	82569	82814	Amillepora00006-RA:three_prime_utr	76	51	57	62	0	2	0	0	0	1
chr1	83199	83471	Amillepora00006-RA:three_prime_utr	89	70	63	51	0	13	2	1	6	6
chr1	83737	84565	Amillepora00006-RA:three_prime_utr	246	161	226	196	0	33	6	4	14	19
chr1	167575	168453	Amillepora00013-RA:three_prime_utr	176	235	252	216	0	38	3	7	11	19
chr1	430836	432402	Amillepora00032-RA:three_prime_utr	513	312	486	256	0	8	0	4	5	2
chr1	442330	442441	Amillepora00034-RA:three_prime_utr	58	11	19	24	0	0	0	0	0	0
chr1	468047	468430	Amillepora00035-RA:three_prime_utr	96	72	128	88	0	21	1	3	8	13
chr1	479354	479386	Amillepora00036-RA:three_prime_utr	8	4	10	11	0	0	0	0	0	0
chr1	260470	260795	Amillepora00022-RA:three_prime_utr	89	67	114	56	0	11	2	2	6	2
chr1	260819	261261	Amillepora00022-RA:three_prime_utr	154	80	159	50	0	7	2	2	2	2
chr1	385188	386099	Amillepora00027-RA:three_prime_utr	279	164	342	127	0	28	5	2	11	10
chr1	270516	270638	Amillepora00024-RA:three_prime_utr	42	23	39	19	0	1	0	0	1	0
chr1	271455	271473	Amillepora00024-RA:three_prime_utr	9	3	4	3	0	1	0	0	1	1
chr1	271667	271918	Amillepora00024-RA:three_prime_utr	68	62	79	43	0	2	0	1	1	2
chr1	274846	274965	Amillepora00024-RA:three_prime_utr	30	26	35	29	0	1	0	0	0	0
chr1	276450	276757	Amillepora00024-RA:three_prime_utr	99	72	84	53	0	2	0	0	0	0
chr1	431411	432620	Amillepora00033-RA:three_prime_utr	401	216	387	206	0	6	1	1	4	1
chr1	563854	564757	Amillepora00043-RA:three_prime_utr	290	146	308	160	0	6	1	0	4	1
