chr	start	end	name	nA	nG	nT	nC	nN	nCpG	nCCG	nCGG	nCGNR	nYNCG
chr1	106582	106784	LTR_1	46	40	69	48	0	2	1	1	0	2
chr1	106582	106784	LTR_2	46	40	69	48	0	2	1	1	0	2
chr1	202543	202655	LTR_3	28	23	34	28	0	4	2	0	3	2
chr1	202543	202655	LTR_4	28	23	34	28	0	4	2	0	3	2
chr1	347224	347447	LTR_5	65	54	88	17	0	2	1	1	1	1
chr1	347224	347447	LTR_6	65	54	88	17	0	2	1	1	1	1
chr1	350157	352394	LTR_7	482	539	711	506	0	94	16	21	41	51
chr1	350157	352394	LTR_8	482	539	711	506	0	94	16	21	41	51
chr1	352937	353319	LTR_9	84	82	126	91	0	24	6	3	8	15
chr1	352937	353319	LTR_10	84	82	126	91	0	24	6	3	8	15
chr1	374884	374955	LTR_11	29	13	23	7	0	0	0	0	0	0
chr1	374884	374955	LTR_12	29	13	23	7	0	0	0	0	0	0
chr1	542440	542562	LTR_13	32	33	20	38	0	4	3	2	3	4
chr1	542440	542562	LTR_14	32	33	20	38	0	4	3	2	3	4
chr1	864387	866639	LTR_15	687	582	425	559	0	70	21	16	40	34
chr1	864387	866639	LTR_16	687	582	425	559	0	70	21	16	40	34
chr1	1112422	1112555	LTR_17	51	25	40	18	0	1	1	0	0	0
chr1	1112422	1112555	LTR_18	51	25	40	18	0	1	1	0	0	0
chr1	1112841	1112884	LTR_19	17	6	12	9	0	1	0	0	0	1
chr1	1112841	1112884	LTR_20	17	6	12	9	0	1	0	0	0	1
chr1	1112986	1113129	LTR_21	55	28	40	21	0	2	1	0	0	0
chr1	1112986	1113129	LTR_22	55	28	40	21	0	2	1	0	0	0
chr1	1128223	1128352	LTR_23	21	38	40	31	0	2	0	1	2	1
chr1	1128223	1128352	LTR_24	21	38	40	31	0	2	0	1	2	1
chr1	1346794	1346867	LTR_25	18	20	24	12	0	0	0	0	0	0
chr1	1346794	1346867	LTR_26	18	20	24	12	0	0	0	0	0	0
chr1	1378097	1378251	LTR_27	40	33	50	32	0	9	3	3	3	3
chr1	1378097	1378251	LTR_28	40	33	50	32	0	9	3	3	3	3
chr1	1490529	1490836	LTR_29	96	64	82	66	0	14	2	4	6	7
chr1	1490529	1490836	LTR_30	96	64	82	66	0	14	2	4	6	7
chr1	1537431	1537609	LTR_31	64	28	38	49	0	4	1	1	2	4
chr1	1537431	1537609	LTR_32	64	28	38	49	0	4	1	1	2	4
chr1	1692402	1692903	LTR_33	116	100	176	110	0	21	3	3	10	15
chr1	1692402	1692903	LTR_34	116	100	176	110	0	21	3	3	10	15
chr1	1944637	1946088	LTR_35	319	323	417	393	0	50	15	17	20	29
chr1	1944637	1946088	LTR_36	319	323	417	393	0	50	15	17	20	29
chr1	1947168	1947330	LTR_37	40	28	63	32	0	4	2	1	2	3
chr1	1947168	1947330	LTR_38	40	28	63	32	0	4	2	1	2	3
