chr	start	end	name	nA	nG	nT	nC	nN	nCpG	nCCG	nCGG	nCGNR	nYNCG
chr1	248329	248569	SINE_1	78	52	55	56	0	4	2	2	3	3
chr1	248329	248569	SINE_2	78	52	55	56	0	4	2	2	3	3
chr1	735041	735289	SINE_3	62	57	75	55	0	3	1	1	2	1
chr1	735041	735289	SINE_4	62	57	75	55	0	3	1	1	2	1
chr1	807043	807260	SINE_5	61	53	61	43	0	2	0	2	2	2
chr1	807043	807260	SINE_6	61	53	61	43	0	2	0	2	2	2
chr1	873047	873234	SINE_7	70	36	51	31	0	0	0	0	0	0
chr1	873047	873234	SINE_8	70	36	51	31	0	0	0	0	0	0
chr1	884546	884741	SINE_9	65	42	39	50	0	7	3	3	4	2
chr1	884546	884741	SINE_10	65	42	39	50	0	7	3	3	4	2
chr1	912642	912790	SINE_11	33	33	47	36	0	4	1	1	3	1
chr1	912642	912790	SINE_12	33	33	47	36	0	4	1	1	3	1
chr1	1199139	1199328	SINE_13	49	44	61	36	0	2	0	0	2	2
chr1	1199139	1199328	SINE_14	49	44	61	36	0	2	0	0	2	2
chr1	1340231	1340490	SINE_15	58	60	91	51	0	3	2	2	2	2
chr1	1340231	1340490	SINE_16	58	60	91	51	0	3	2	2	2	2
chr1	1586163	1586248	SINE_17	21	12	29	24	0	2	1	0	0	1
chr1	1586163	1586248	SINE_18	21	12	29	24	0	2	1	0	0	1
chr1	1974508	1974740	SINE_19	72	58	59	44	0	0	0	0	0	0
chr1	1974508	1974740	SINE_20	72	58	59	44	0	0	0	0	0	0
chr1	2172439	2172647	SINE_21	40	51	66	52	0	6	4	1	2	3
chr1	2172439	2172647	SINE_22	40	51	66	52	0	6	4	1	2	3
chr1	2255385	2255577	SINE_23	37	48	64	44	0	4	2	0	2	2
chr1	2255385	2255577	SINE_24	37	48	64	44	0	4	2	0	2	2
chr1	2814860	2814996	SINE_25	49	25	37	26	0	0	0	0	0	0
chr1	2814860	2814996	SINE_26	49	25	37	26	0	0	0	0	0	0
chr1	2815376	2815644	SINE_27	79	50	92	48	0	5	0	1	2	2
