chr	feature	start	stop	strand	featureID	parentID
chr10	mRNA	78574	86389	+	Amillepora16770-RA	Amillepora16770
chr10	mRNA	56203	78368	-	Amillepora16769-RA	Amillepora16769
chr10	mRNA	129293	169672	-	Amillepora16774-RA	Amillepora16774
chr10	mRNA	116856	127301	-	Amillepora16773-RA	Amillepora16773
chr10	mRNA	90029	110622	-	Amillepora16771-RA	Amillepora16771
chr10	mRNA	201101	205740	+	Amillepora16778-RA	Amillepora16778
chr10	mRNA	171170	197798	-	Amillepora16777-RA	Amillepora16777
chr10	mRNA	207171	226252	-	Amillepora16779-RA	Amillepora16779
chr10	mRNA	270177	271009	-	Amillepora16782-RA	Amillepora16782
chr10	mRNA	269654	270159	-	Amillepora16781-RA	Amillepora16781
chr10	mRNA	268976	269380	-	Amillepora16780-RA	Amillepora16780
chr10	mRNA	271174	271481	-	Amillepora16783-RA	Amillepora16783
chr10	mRNA	355437	358209	+	Amillepora16793-RA	Amillepora16793
chr10	mRNA	290446	301430	+	Amillepora16784-RA	Amillepora16784
chr10	mRNA	374803	377778	-	Amillepora16795-RA	Amillepora16795
chr10	mRNA	308237	314231	-	Amillepora16787-RA	Amillepora16787
chr10	mRNA	361003	374285	-	Amillepora16794-RA	Amillepora16794
chr10	mRNA	340754	348300	-	Amillepora16792-RA	Amillepora16792
chr10	mRNA	334969	340469	-	Amillepora16791-RA	Amillepora16791
chr10	mRNA	323999	326833	-	Amillepora16790-RA	Amillepora16790
chr10	mRNA	315180	319549	-	Amillepora16788-RA	Amillepora16788
chr10	mRNA	319560	321966	-	Amillepora16789-RA	Amillepora16789
chr10	mRNA	301858	307307	-	Amillepora16785-RA	Amillepora16785
chr10	mRNA	379820	394573	+	Amillepora16796-RA	Amillepora16796
chr10	mRNA	427276	433019	+	Amillepora16800-RA	Amillepora16800
chr10	mRNA	407702	418133	+	Amillepora16798-RA	Amillepora16798
chr10	mRNA	402308	407282	-	Amillepora16797-RA	Amillepora16797
chr10	mRNA	447137	454446	-	Amillepora16801-RA	Amillepora16801
chr10	mRNA	499826	500605	+	Amillepora16804-RA	Amillepora16804
chr10	mRNA	552049	557208	+	Amillepora16812-RA	Amillepora16812
chr10	mRNA	524217	530628	+	Amillepora16808-RA	Amillepora16808
chr10	mRNA	578761	583442	+	Amillepora16815-RA	Amillepora16815
chr10	mRNA	509028	519995	+	Amillepora16806-RA	Amillepora16806
chr10	mRNA	557392	560593	-	Amillepora16813-RA	Amillepora16813
chr10	mRNA	520681	524138	-	Amillepora16807-RA	Amillepora16807
chr10	mRNA	561324	577819	-	Amillepora16814-RA	Amillepora16814
chr10	mRNA	543127	551955	-	Amillepora16811-RA	Amillepora16811
chr10	mRNA	502299	508613	-	Amillepora16805-RA	Amillepora16805
chr10	mRNA	530873	534770	-	Amillepora16809-RA	Amillepora16809
chr10	mRNA	461162	467337	-	Amillepora16802-RA	Amillepora16802
chr10	mRNA	469024	498354	-	Amillepora16803-RA	Amillepora16803
chr10	mRNA	535880	540044	-	Amillepora16810-RA	Amillepora16810
chr10	mRNA	602618	606079	+	Amillepora16817-RA	Amillepora16817
chr10	mRNA	611089	613827	+	Amillepora16818-RA	Amillepora16818
chr10	mRNA	670412	676378	+	Amillepora16824-RA	Amillepora16824
chr10	mRNA	591800	593833	+	Amillepora16816-RA	Amillepora16816
chr10	mRNA	662767	668384	+	Amillepora16823-RA	Amillepora16823
chr10	mRNA	653785	660938	+	Amillepora16822-RA	Amillepora16822
chr10	mRNA	635745	650592	-	Amillepora16821-RA	Amillepora16821
chr10	mRNA	614392	617020	-	Amillepora16819-RA	Amillepora16819
chr10	mRNA	621996	631931	-	Amillepora16820-RA	Amillepora16820
chr10	mRNA	699434	744377	+	Amillepora16826-RA	Amillepora16826
chr10	mRNA	677558	694941	+	Amillepora16825-RA	Amillepora16825
chr10	mRNA	809375	823674	+	Amillepora16830-RA	Amillepora16830
chr10	mRNA	817961	830244	-	Amillepora16831-RA	Amillepora16831
chr10	mRNA	801508	807448	-	Amillepora16829-RA	Amillepora16829
chr10	mRNA	843376	854059	-	Amillepora16833-RA	Amillepora16833
chr10	mRNA	915709	920006	+	Amillepora16841-RA	Amillepora16841
chr10	mRNA	955229	956793	+	Amillepora16843-RA	Amillepora16843
chr10	mRNA	908747	911709	+	Amillepora16840-RA	Amillepora16840
chr10	mRNA	958650	962761	+	Amillepora16844-RA	Amillepora16844
chr10	mRNA	962825	963451	+	Amillepora16845-RA	Amillepora16845
chr10	mRNA	876575	882033	-	Amillepora16836-RA	Amillepora16836
chr10	mRNA	862727	869790	-	Amillepora16834-RA	Amillepora16834
chr10	mRNA	893468	893845	-	Amillepora16838-RA	Amillepora16838
chr10	mRNA	899861	906171	-	Amillepora16839-RA	Amillepora16839
chr10	mRNA	884924	889458	-	Amillepora16837-RA	Amillepora16837
chr10	mRNA	871055	872906	-	Amillepora16835-RA	Amillepora16835
chr10	mRNA	944692	944959	+	Amillepora16842-RA	Amillepora16842
chr10	mRNA	1017819	1023926	+	Amillepora16849-RA	Amillepora16849
chr10	mRNA	985156	991593	+	Amillepora16846-RA	Amillepora16846
chr10	mRNA	1073221	1080690	+	Amillepora16852-RA	Amillepora16852
chr10	mRNA	1007914	1015920	+	Amillepora16848-RA	Amillepora16848
chr10	mRNA	997844	1003675	+	Amillepora16847-RA	Amillepora16847
chr10	mRNA	1026335	1038625	-	Amillepora16850-RA	Amillepora16850
chr10	mRNA	1040973	1072966	-	Amillepora16851-RA	Amillepora16851
chr10	mRNA	1128884	1134241	+	Amillepora16855-RA	Amillepora16855
chr10	mRNA	1160065	1166298	-	Amillepora16858-RA	Amillepora16858
chr10	mRNA	1166914	1173960	-	Amillepora16859-RA	Amillepora16859
chr10	mRNA	1089763	1090734	-	Amillepora16853-RA	Amillepora16853
chr10	mRNA	1136346	1145909	-	Amillepora16856-RA	Amillepora16856
chr10	mRNA	1108250	1127670	-	Amillepora16854-RA	Amillepora16854
chr10	mRNA	1175766	1186441	-	Amillepora16860-RA	Amillepora16860
chr10	mRNA	1146957	1156217	-	Amillepora16857-RA	Amillepora16857
chr10	mRNA	1268602	1271796	+	Amillepora16873-RA	Amillepora16873
chr10	mRNA	1259999	1266247	-	Amillepora16872-RA	Amillepora16872
chr10	mRNA	1187532	1191492	-	Amillepora16861-RA	Amillepora16861
chr10	mRNA	1201565	1207621	-	Amillepora16863-RA	Amillepora16863
chr10	mRNA	1193724	1201372	-	Amillepora16862-RA	Amillepora16862
chr10	mRNA	1235039	1235617	-	Amillepora16867-RA	Amillepora16867
chr10	mRNA	1210027	1217850	-	Amillepora16864-RA	Amillepora16864
chr10	mRNA	1251924	1253961	-	Amillepora16871-RA	Amillepora16871
chr10	mRNA	1232818	1233158	-	Amillepora16865-RA	Amillepora16865
chr10	mRNA	1237177	1237977	-	Amillepora16868-RA	Amillepora16868
chr10	mRNA	1234787	1234988	-	Amillepora16866-RA	Amillepora16866
chr10	mRNA	1329314	1343071	+	Amillepora16877-RA	Amillepora16877
chr10	mRNA	1311280	1322125	-	Amillepora16875-RA	Amillepora16875
chr10	mRNA	1327250	1328661	-	Amillepora16876-RA	Amillepora16876
chr10	mRNA	1277162	1302485	-	Amillepora16874-RA	Amillepora16874
chr10	mRNA	1480991	1489453	+	Amillepora16891-RA	Amillepora16891
chr10	mRNA	1468808	1471174	+	Amillepora16888-RA	Amillepora16888
chr10	mRNA	1472970	1474635	+	Amillepora16890-RA	Amillepora16890
chr10	mRNA	1464797	1467424	+	Amillepora16886-RA	Amillepora16886
chr10	mRNA	1471835	1472866	-	Amillepora16889-RA	Amillepora16889
chr10	mRNA	1362844	1434109	-	Amillepora16878-RA	Amillepora16878
chr10	mRNA	1441209	1443746	-	Amillepora16884-RA	Amillepora16884
chr10	mRNA	1443755	1447431	-	Amillepora16885-RA	Amillepora16885
chr10	mRNA	1543563	1557328	+	Amillepora16898-RA	Amillepora16898
chr10	mRNA	1492348	1493856	+	Amillepora16892-RA	Amillepora16892
chr10	mRNA	1495560	1500277	+	Amillepora16893-RA	Amillepora16893
chr10	mRNA	1558063	1578487	-	Amillepora16899-RA	Amillepora16899
chr10	mRNA	1529597	1543308	-	Amillepora16897-RA	Amillepora16897
chr10	mRNA	1503729	1511093	-	Amillepora16894-RA	Amillepora16894
chr10	mRNA	1520092	1526551	-	Amillepora16896-RA	Amillepora16896
chr10	mRNA	1517108	1519295	-	Amillepora16895-RA	Amillepora16895
chr10	mRNA	1650051	1652561	+	Amillepora16902-RA	Amillepora16902
chr10	mRNA	1594546	1631644	+	Amillepora16900-RA	Amillepora16900
chr10	mRNA	1635058	1659621	-	Amillepora16901-RA	Amillepora16901
chr10	mRNA	1663588	1677639	-	Amillepora16903-RA	Amillepora16903
chr10	mRNA	1720738	1741689	-	Amillepora16905-RA	Amillepora16905
chr10	mRNA	1682851	1715395	-	Amillepora16904-RA	Amillepora16904
chr10	mRNA	1747056	1756457	-	Amillepora16906-RA	Amillepora16906
chr10	mRNA	1829427	1837350	+	Amillepora16914-RA	Amillepora16914
chr10	mRNA	1819893	1828700	+	Amillepora16913-RA	Amillepora16913
chr10	mRNA	1774682	1799113	-	Amillepora16908-RA	Amillepora16908
chr10	mRNA	1763368	1773118	-	Amillepora16907-RA	Amillepora16907
chr10	mRNA	1851236	1854953	-	Amillepora16915-RA	Amillepora16915
chr10	mRNA	1883907	1884492	+	Amillepora16917-RA	Amillepora16917
chr10	mRNA	1938157	1938453	-	Amillepora16921-RA	Amillepora16921
chr10	mRNA	1935341	1937106	-	Amillepora16919-RA	Amillepora16919
chr10	mRNA	1915346	1917447	-	Amillepora16918-RA	Amillepora16918
chr10	mRNA	1937314	1937680	-	Amillepora16920-RA	Amillepora16920
chr10	mRNA	1992501	2003703	+	Amillepora16922-RA	Amillepora16922
chr10	mRNA	2048046	2071807	+	Amillepora16928-RA	Amillepora16928
chr10	mRNA	2026251	2045618	+	Amillepora16926-RA	Amillepora16926
chr10	mRNA	2021479	2025695	-	Amillepora16925-RA	Amillepora16925
chr10	mRNA	2007159	2018105	-	Amillepora16923-RA	Amillepora16923
chr10	mRNA	2073302	2077905	+	Amillepora16929-RA	Amillepora16929
chr10	mRNA	2086150	2093574	+	Amillepora16931-RA	Amillepora16931
chr10	mRNA	2095833	2112136	+	Amillepora16932-RA	Amillepora16932
chr10	mRNA	2082697	2084961	+	Amillepora16930-RA	Amillepora16930
chr10	mRNA	2112461	2127562	+	Amillepora16933-RA	Amillepora16933
chr10	mRNA	2130356	2145998	-	Amillepora16934-RA	Amillepora16934
chr10	mRNA	2169383	2182705	+	Amillepora16937-RA	Amillepora16937
chr10	mRNA	2249320	2251249	+	Amillepora16946-RA	Amillepora16946
chr10	mRNA	2254109	2256981	+	Amillepora16947-RA	Amillepora16947
chr10	mRNA	2190122	2204488	+	Amillepora16939-RA	Amillepora16939
chr10	mRNA	2210509	2221906	+	Amillepora16941-RA	Amillepora16941
chr10	mRNA	2148874	2162506	+	Amillepora16936-RA	Amillepora16936
chr10	mRNA	2231833	2240923	+	Amillepora16944-RA	Amillepora16944
chr10	mRNA	2226348	2230411	+	Amillepora16943-RA	Amillepora16943
chr10	mRNA	2205919	2210439	-	Amillepora16940-RA	Amillepora16940
chr10	mRNA	2241694	2249302	-	Amillepora16945-RA	Amillepora16945
chr10	mRNA	2256993	2263971	-	Amillepora16948-RA	Amillepora16948
chr10	mRNA	2364411	2371316	+	Amillepora16958-RA	Amillepora16958
chr10	mRNA	2264930	2272038	+	Amillepora16949-RA	Amillepora16949
chr10	mRNA	2344139	2349159	+	Amillepora16956-RA	Amillepora16956
chr10	mRNA	2282515	2301395	+	Amillepora16952-RA	Amillepora16952
chr10	mRNA	2272960	2276812	+	Amillepora16950-RA	Amillepora16950
chr10	mRNA	2277099	2282404	+	Amillepora16951-RA	Amillepora16951
chr10	mRNA	2322232	2337002	+	Amillepora16954-RA	Amillepora16954
chr10	mRNA	2299488	2336587	-	Amillepora16953-RA	Amillepora16953
chr10	mRNA	2351942	2359093	-	Amillepora16957-RA	Amillepora16957
chr10	mRNA	2457800	2459788	+	Amillepora16968-RA	Amillepora16968
chr10	mRNA	2432115	2437328	+	Amillepora16964-RA	Amillepora16964
chr10	mRNA	2387585	2408683	+	Amillepora16961-RA	Amillepora16961
chr10	mRNA	2372993	2387315	+	Amillepora16959-RA	Amillepora16959
chr10	mRNA	2441088	2445633	+	Amillepora16965-RA	Amillepora16965
chr10	mRNA	2410406	2432155	-	Amillepora16962-RA	Amillepora16962
chr10	mRNA	2477548	2478199	-	Amillepora16971-RA	Amillepora16971
chr10	mRNA	2454222	2455082	-	Amillepora16967-RA	Amillepora16967
chr10	mRNA	2444879	2445700	-	Amillepora16966-RA	Amillepora16966
chr10	mRNA	2543262	2546448	+	Amillepora16977-RA	Amillepora16977
chr10	mRNA	2496949	2507124	+	Amillepora16972-RA	Amillepora16972
chr10	mRNA	2520879	2525372	+	Amillepora16974-RA	Amillepora16974
chr10	mRNA	2526496	2539042	+	Amillepora16975-RA	Amillepora16975
chr10	mRNA	2552255	2572092	+	Amillepora16979-RA	Amillepora16979
chr10	mRNA	2572280	2580758	+	Amillepora16980-RA	Amillepora16980
chr10	mRNA	2546984	2548927	-	Amillepora16978-RA	Amillepora16978
chr10	mRNA	2538169	2543235	-	Amillepora16976-RA	Amillepora16976
chr10	mRNA	2515072	2515797	-	Amillepora16973-RA	Amillepora16973
chr10	mRNA	2644233	2649255	+	Amillepora16985-RA	Amillepora16985
chr10	mRNA	2630050	2643072	+	Amillepora16984-RA	Amillepora16984
chr10	mRNA	2669627	2676122	+	Amillepora16988-RA	Amillepora16988
chr10	mRNA	2597475	2611037	+	Amillepora16982-RA	Amillepora16982
chr10	mRNA	2612129	2625392	+	Amillepora16983-RA	Amillepora16983
chr10	mRNA	2680343	2684011	+	Amillepora16991-RA	Amillepora16991
chr10	mRNA	2655373	2659673	+	Amillepora16987-RA	Amillepora16987
chr10	mRNA	2649324	2652208	-	Amillepora16986-RA	Amillepora16986
chr10	mRNA	2581127	2590420	-	Amillepora16981-RA	Amillepora16981
chr10	mRNA	2676664	2679250	-	Amillepora16989-RA	Amillepora16989
chr10	mRNA	2679530	2680327	-	Amillepora16990-RA	Amillepora16990
chr10	mRNA	2699056	2701502	+	Amillepora16993-RA	Amillepora16993
chr10	mRNA	2755363	2784751	+	Amillepora16999-RA	Amillepora16999
chr10	mRNA	2736448	2740601	+	Amillepora16997-RA	Amillepora16997
chr10	mRNA	2726870	2729653	-	Amillepora16996-RA	Amillepora16996
chr10	mRNA	2748793	2755322	-	Amillepora16998-RA	Amillepora16998
chr10	mRNA	2685933	2698043	-	Amillepora16992-RA	Amillepora16992
chr10	mRNA	2703038	2716234	-	Amillepora16994-RA	Amillepora16994
chr10	mRNA	2717896	2724322	-	Amillepora16995-RA	Amillepora16995
chr10	mRNA	2829435	2831933	+	Amillepora17006-RA	Amillepora17006
chr10	mRNA	2818022	2828668	+	Amillepora17005-RA	Amillepora17005
chr10	mRNA	2803259	2809408	+	Amillepora17002-RA	Amillepora17002
chr10	mRNA	2853773	2859131	+	Amillepora17007-RA	Amillepora17007
chr10	mRNA	2865468	2870035	+	Amillepora17009-RA	Amillepora17009
chr10	mRNA	2882514	2888637	+	Amillepora17010-RA	Amillepora17010
chr10	mRNA	2786659	2803282	-	Amillepora17001-RA	Amillepora17001
chr10	mRNA	2811141	2817631	-	Amillepora17004-RA	Amillepora17004
chr10	mRNA	2860748	2862387	-	Amillepora17008-RA	Amillepora17008
chr10	mRNA	2943018	2956828	+	Amillepora17016-RA	Amillepora17016
chr10	mRNA	2889310	2889646	+	Amillepora17011-RA	Amillepora17011
chr10	mRNA	2976822	2983500	-	Amillepora17021-RA	Amillepora17021
chr10	mRNA	2963673	2972457	-	Amillepora17018-RA	Amillepora17018
chr10	mRNA	2957442	2961742	-	Amillepora17017-RA	Amillepora17017
chr10	mRNA	2930818	2935245	-	Amillepora17015-RA	Amillepora17015
chr10	mRNA	2908541	2914146	-	Amillepora17013-RA	Amillepora17013
chr10	mRNA	2919396	2923013	-	Amillepora17014-RA	Amillepora17014
chr10	mRNA	2894651	2899612	-	Amillepora17012-RA	Amillepora17012
chr10	mRNA	3030333	3031777	+	Amillepora17028-RA	Amillepora17028
chr10	mRNA	2972541	2976562	+	Amillepora17019-RA	Amillepora17019
chr10	mRNA	3013827	3019964	+	Amillepora17025-RA	Amillepora17025
chr10	mRNA	2980664	3004522	+	Amillepora17022-RA	Amillepora17022
chr10	mRNA	3004526	3013574	-	Amillepora17023-RA	Amillepora17023
chr10	mRNA	3020149	3045184	-	Amillepora17026-RA	Amillepora17026
chr10	mRNA	3056101	3058727	-	Amillepora17030-RA	Amillepora17030
chr10	mRNA	3047048	3055302	-	Amillepora17029-RA	Amillepora17029
chr10	mRNA	3151460	3155716	+	Amillepora17036-RA	Amillepora17036
chr10	mRNA	3165364	3186369	+	Amillepora17037-RA	Amillepora17037
chr10	mRNA	3135649	3149089	+	Amillepora17035-RA	Amillepora17035
chr10	mRNA	3111548	3124290	-	Amillepora17033-RA	Amillepora17033
chr10	mRNA	3133873	3142725	-	Amillepora17034-RA	Amillepora17034
chr10	mRNA	3073153	3095196	-	Amillepora17031-RA	Amillepora17031
chr10	mRNA	3248906	3265778	+	Amillepora17044-RA	Amillepora17044
chr10	mRNA	3213999	3215793	+	Amillepora17041-RA	Amillepora17041
chr10	mRNA	3204196	3211850	+	Amillepora17040-RA	Amillepora17040
chr10	mRNA	3186546	3194652	-	Amillepora17038-RA	Amillepora17038
chr10	mRNA	3216293	3221638	-	Amillepora17042-RA	Amillepora17042
chr10	mRNA	3203594	3211306	-	Amillepora17039-RA	Amillepora17039
chr10	mRNA	3222318	3235175	-	Amillepora17043-RA	Amillepora17043
chr10	mRNA	3267959	3273878	-	Amillepora17045-RA	Amillepora17045
chr10	mRNA	3314135	3314929	+	Amillepora17047-RA	Amillepora17047
chr10	mRNA	3280364	3282164	+	Amillepora17046-RA	Amillepora17046
