chr	start	end	name	mrF-L5-s1_S10	mrF-L5-s2_S11	mrF-L5-s3_S12	mrF-L5-t1_S7	mrF-L5-t2_S8	mrF-L5-t3_S9	mrF-N12-s1_S4	mrF-N12-s2_S5	mrF-N12-s3_S6	mrF-N12-t1_S1	mrF-N12-t2_S2	mrF-N12-t3_S3	mrM-L5-s1_S22	mrM-L5-s2_S23	mrM-L5-s3_S24	mrM-L5-t1_S19	mrM-L5-t2_S20	mrM-L5-t3_S21	mrM-N12-s1_S16	mrM-N12-s2_S17	mrM-N12-s3_S18	mrM-N12-t1_S13	mrM-N12-t2_S14	mrM-N12-t3_S15	
chr10	77574	78574	Amillepora16770	7	2	2	0	0	0	2	0	0	0	0	2	10	10	5	5	3	2	13	0	2	1	2	5
chr10	78368	79368	Amillepora16769	11	8	3	0	0	2	1	1	1	1	2	3	17	7	13	9	7	7	12	6	10	5	6	13
chr10	169672	170672	Amillepora16774	15	2	0	1	2	0	2	0	1	1	1	0	19	8	0	2	1	3	14	1	3	4	2	8
chr10	127301	128301	Amillepora16773	9	3	0	2	0	0	2	2	0	0	0	0	8	2	2	0	3	4	6	0	0	1	6	3
chr10	110622	111622	Amillepora16771	6	3	0	0	1	2	0	0	0	0	1	0	10	16	0	6	1	12	11	5	2	6	3	16
chr10	200101	201101	Amillepora16778	5	1	0	0	0	0	1	0	0	1	0	0	5	2	0	4	3	4	14	0	2	2	0	1
chr10	197798	198798	Amillepora16777	1	0	0	0	0	0	0	0	0	0	0	0	12	6	1	4	2	4	1	0	4	2	3	0
chr10	226252	227252	Amillepora16779	0	0	0	1	0	0	1	2	0	0	2	4	5	2	0	5	0	4	11	4	2	2	2	4
chr10	271009	272009	Amillepora16782	125	24	2	10	1	5	17	2	0	12	14	7	18	6	7	13	4	8	6	2	3	7	5	9
chr10	270159	271159	Amillepora16781	46	20	0	2	2	3	6	1	0	4	3	5	18	2	3	2	0	4	5	0	3	4	9	4
chr10	269380	270380	Amillepora16780	58	21	0	4	1	1	12	0	1	1	2	8	21	3	2	4	4	4	8	0	4	7	9	3
chr10	271481	272481	Amillepora16783	130	17	4	12	0	8	14	0	0	6	10	5	30	9	7	22	8	17	3	2	2	7	3	10
chr10	354437	355437	Amillepora16793	0	2	0	0	0	0	0	0	0	0	0	2	9	5	0	2	2	0	1	2	2	0	3	0
chr10	289446	290446	Amillepora16784	2	0	0	0	0	0	2	0	0	0	0	0	20	5	5	5	0	1	7	2	2	0	0	0
chr10	377778	378778	Amillepora16795	9	0	0	0	0	0	4	0	0	0	0	2	66	28	41	44	15	49	45	29	18	34	23	44
chr10	314231	315231	Amillepora16787	38	1	0	0	0	2	8	2	0	0	2	0	2	1	2	6	2	0	3	2	0	0	2	4
chr10	374285	375285	Amillepora16794	41	10	4	3	0	5	15	3	3	12	4	5	67	51	34	50	22	45	76	40	45	41	25	76
chr10	348300	349300	Amillepora16792	0	0	0	0	0	0	2	0	0	1	0	2	4	0	1	1	0	3	6	0	0	4	0	6
chr10	340469	341469	Amillepora16791	2	0	0	0	0	0	0	0	0	0	0	0	12	4	0	4	2	0	4	0	2	2	0	3
chr10	326833	327833	Amillepora16790	0	1	0	0	0	0	0	0	1	0	2	0	1	2	0	2	0	0	2	1	2	2	0	3
chr10	319549	320549	Amillepora16788	2	0	0	0	0	0	0	0	0	0	4	0	4	2	0	1	2	0	0	2	2	2	3	3
chr10	321966	322966	Amillepora16789	4	4	0	0	0	0	0	0	0	0	2	0	1	3	0	2	0	2	3	0	2	1	0	0
chr10	307307	308307	Amillepora16785	10	2	0	0	0	1	6	0	0	4	2	0	7	1	0	2	1	0	6	2	0	4	5	8
chr10	378820	379820	Amillepora16796	35	7	0	6	0	0	14	0	0	4	2	1	95	54	21	46	28	35	46	21	16	21	13	15
chr10	426276	427276	Amillepora16800	1	0	0	0	0	2	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	3
chr10	406702	407702	Amillepora16798	0	0	2	0	0	0	2	0	0	2	2	0	10	6	6	7	7	2	14	0	1	0	2	12
chr10	407282	408282	Amillepora16797	4	0	2	0	0	0	2	0	0	2	4	0	7	10	7	6	3	2	10	3	0	2	3	7
chr10	454446	455446	Amillepora16801	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	2	0	0	0	1	0	0	0
chr10	498826	499826	Amillepora16804	0	0	0	0	0	0	2	0	0	0	0	0	4	4	0	6	4	0	3	1	0	7	0	2
chr10	551049	552049	Amillepora16812	24	2	0	6	2	6	0	6	0	0	2	4	19	13	7	10	1	7	29	4	4	14	3	8
chr10	523217	524217	Amillepora16808	15	7	2	1	4	0	1	4	2	6	2	1	60	47	23	18	26	29	72	49	39	38	22	74
chr10	577761	578761	Amillepora16815	0	0	0	0	0	0	0	0	0	0	2	0	9	2	4	1	3	4	17	2	0	7	0	3
chr10	508028	509028	Amillepora16806	5	0	0	0	0	0	0	0	0	2	3	0	12	4	1	3	3	3	6	0	0	0	2	3
chr10	560593	561593	Amillepora16813	10	11	0	0	0	2	1	0	0	0	2	0	12	6	5	4	5	5	7	0	0	2	3	6
chr10	524138	525138	Amillepora16807	3	0	2	0	0	0	0	0	0	0	0	0	18	12	4	4	2	3	30	10	10	16	8	15
chr10	577819	578819	Amillepora16814	1	0	0	0	0	0	0	0	0	0	2	0	10	2	4	0	3	4	18	2	0	8	0	3
chr10	551955	552955	Amillepora16811	32	24	9	17	10	14	79	39	15	40	73	63	45	50	30	35	31	42	52	47	44	40	21	63
chr10	508613	509613	Amillepora16805	14	2	0	0	0	0	1	0	0	3	4	0	22	15	2	13	5	5	19	7	0	8	8	9
chr10	534770	535770	Amillepora16809	2	0	0	2	0	0	0	0	0	0	0	2	11	4	2	1	4	7	2	4	1	2	4	2
chr10	467337	468337	Amillepora16802	4	2	0	0	0	0	0	0	0	0	0	0	6	2	2	0	0	2	5	2	5	4	0	0
chr10	498354	499354	Amillepora16803	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	6	4	1	1	0	0	0	2	2
chr10	540044	541044	Amillepora16810	47	34	85	60	38	78	35	71	54	50	45	51	19	8	6	6	2	6	16	3	2	4	1	10
chr10	601618	602618	Amillepora16817	7	1	0	5	0	3	1	0	0	0	2	0	19	4	2	0	5	17	9	2	1	5	1	7
chr10	610089	611089	Amillepora16818	6	1	1	0	0	0	0	0	0	0	0	0	5	6	1	1	1	2	2	1	2	0	2	4
chr10	669412	670412	Amillepora16824	6	0	0	2	0	0	2	0	0	0	2	0	12	7	2	4	1	0	12	0	3	2	2	7
chr10	590800	591800	Amillepora16816	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	3	0	4	0	0	4	0	2
chr10	661767	662767	Amillepora16823	2	2	0	0	0	0	1	0	0	0	0	0	2	5	0	3	0	0	9	2	0	0	0	2
chr10	652785	653785	Amillepora16822	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	0	1	4	0	0	4	0	0
chr10	650592	651592	Amillepora16821	0	1	0	0	0	0	0	0	0	0	0	0	5	2	2	10	2	2	4	0	0	1	0	0
chr10	617020	618020	Amillepora16819	11	1	0	0	0	0	0	0	0	0	0	0	5	6	0	8	0	2	7	2	2	3	0	2
chr10	631931	632931	Amillepora16820	21	6	0	0	0	0	2	0	0	4	6	0	5	4	0	4	0	0	15	2	1	1	4	4
chr10	698434	699434	Amillepora16826	4	2	1	1	0	3	0	0	1	1	0	1	12	6	13	9	8	16	9	0	2	2	2	5
chr10	676558	677558	Amillepora16825	11	0	0	0	0	0	2	0	0	0	1	0	10	1	3	2	4	2	5	4	0	0	1	12
chr10	808375	809375	Amillepora16830	5	0	0	2	0	0	3	0	0	0	0	0	13	2	0	0	6	7	5	3	3	6	3	4
chr10	830244	831244	Amillepora16831	15	0	0	0	0	0	9	11	3	6	2	4	9	8	4	9	10	4	26	8	13	10	19	20
chr10	807448	808448	Amillepora16829	28	12	40	4	18	42	22	23	41	19	10	6	60	70	41	49	26	54	59	38	46	33	37	70
chr10	854059	855059	Amillepora16833	0	0	0	0	0	0	0	0	0	0	0	0	6	5	5	1	2	7	6	6	13	3	7	9
chr10	914709	915709	Amillepora16841	47	18	2	10	0	5	15	0	0	0	0	4	50	41	39	28	15	33	18	4	3	0	3	4
chr10	954229	955229	Amillepora16843	111	42	15	31	8	23	66	8	3	16	38	17	67	37	48	60	48	59	36	31	27	30	27	38
chr10	907747	908747	Amillepora16840	15	8	9	15	16	16	8	3	8	4	14	1	14	13	14	16	17	18	19	6	16	14	13	25
chr10	957650	958650	Amillepora16844	487	301	490	455	389	506	417	402	402	316	484	347	167	137	80	103	64	171	217	127	159	122	150	306
chr10	961825	962825	Amillepora16845	419	344	775	659	639	758	710	1027	1052	828	1182	967	296	207	169	194	110	221	224	92	161	158	206	356
chr10	882033	883033	Amillepora16836	26	0	0	0	0	0	0	0	0	0	1	2	6	3	5	1	3	0	3	0	0	0	0	0
chr10	869790	870790	Amillepora16834	4	6	0	0	0	0	0	0	0	0	0	0	10	0	0	5	2	6	0	0	2	0	2	1
chr10	893845	894845	Amillepora16838	5	0	0	1	0	0	0	0	0	0	0	0	3	4	3	4	0	0	8	2	2	0	0	9
chr10	906171	907171	Amillepora16839	4	2	0	0	8	2	1	2	0	0	1	3	23	13	6	11	14	11	10	2	5	10	6	13
chr10	889458	890458	Amillepora16837	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	2	0	3	0	2	2	0	1
chr10	872906	873906	Amillepora16835	8	0	0	0	0	0	0	0	0	0	0	0	6	9	0	2	0	3	0	0	2	0	0	0
chr10	943692	944692	Amillepora16842	103	47	22	26	10	25	68	40	19	20	58	37	119	69	62	85	67	101	104	56	61	67	66	117
chr10	1016819	1017819	Amillepora16849	12	4	0	0	0	2	0	0	0	0	0	0	6	2	2	2	2	0	0	0	0	2	2	1
chr10	984156	985156	Amillepora16846	0	2	2	1	2	9	0	0	1	1	0	2	29	19	8	8	11	9	6	1	3	3	3	2
chr10	1072221	1073221	Amillepora16852	13	7	6	6	5	7	7	8	9	5	4	4	28	20	4	10	7	10	16	19	16	21	22	25
chr10	1006914	1007914	Amillepora16848	0	0	0	0	0	0	2	0	0	0	0	1	6	1	2	4	0	1	4	2	0	2	0	8
chr10	996844	997844	Amillepora16847	1	2	0	2	0	2	6	5	23	8	14	6	17	7	2	4	8	8	18	16	9	5	20	28
chr10	1038625	1039625	Amillepora16850	12	0	0	0	0	0	4	0	0	0	0	1	17	2	2	4	6	5	11	4	3	0	0	5
chr10	1072966	1073966	Amillepora16851	9	1	0	0	0	0	2	0	0	0	1	0	17	5	0	8	3	0	5	4	0	6	2	2
chr10	1127884	1128884	Amillepora16855	2	0	0	0	0	0	1	0	0	0	0	0	12	6	6	7	0	4	0	0	2	2	2	13
chr10	1166298	1167298	Amillepora16858	9	2	0	0	0	0	0	0	0	1	2	0	6	2	2	0	4	3	8	0	0	3	4	2
chr10	1173960	1174960	Amillepora16859	0	0	0	2	0	0	0	2	0	0	0	1	10	0	0	0	0	8	3	0	0	3	1	0
chr10	1090734	1091734	Amillepora16853	7	2	0	3	0	0	2	0	0	2	2	0	10	1	4	0	1	2	6	0	4	4	0	6
chr10	1145909	1146909	Amillepora16856	3	0	0	0	0	0	2	0	0	0	2	0	11	4	1	7	2	0	4	0	2	0	0	2
chr10	1127670	1128670	Amillepora16854	2	0	0	0	0	0	1	0	0	0	0	0	11	5	7	3	0	4	0	0	0	2	2	9
chr10	1186441	1187441	Amillepora16860	0	0	0	4	0	0	0	0	0	0	0	0	2	3	6	6	0	2	11	2	3	3	0	2
