chr	start	end	name	mrF-L5-s1_S10	mrF-L5-s2_S11	mrF-L5-s3_S12	mrF-L5-t1_S7	mrF-L5-t2_S8	mrF-L5-t3_S9	mrF-N12-s1_S4	mrF-N12-s2_S5	mrF-N12-s3_S6	mrF-N12-t1_S1	mrF-N12-t2_S2	mrF-N12-t3_S3	mrM-L5-s1_S22	mrM-L5-s2_S23	mrM-L5-s3_S24	mrM-L5-t1_S19	mrM-L5-t2_S20	mrM-L5-t3_S21	mrM-N12-s1_S16	mrM-N12-s2_S17	mrM-N12-s3_S18	mrM-N12-t1_S13	mrM-N12-t2_S14	mrM-N12-t3_S15	
chr1	6874	6931	Low_complexity_1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0
chr1	6874	6931	Low_complexity_2	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0
chr1	65380	65421	Low_complexity_3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	1	0	0	0	0	0
chr1	65380	65421	Low_complexity_4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	1	0	0	0	0	0
chr1	66044	66082	Low_complexity_5	2	0	1	0	0	0	0	0	0	0	0	0	11	9	2	4	6	0	1	1	0	0	0	2
chr1	66044	66082	Low_complexity_6	2	0	1	0	0	0	0	0	0	0	0	0	11	9	2	4	6	0	1	1	0	0	0	2
chr1	179731	179798	Low_complexity_7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	1
chr1	179731	179798	Low_complexity_8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	1
chr1	198190	198235	Low_complexity_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1	198190	198235	Low_complexity_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1	279634	279672	Low_complexity_11	0	0	0	0	0	0	1	3	4	3	1	2	0	0	0	0	0	0	10	11	18	7	19	11
chr1	279634	279672	Low_complexity_12	0	0	0	0	0	0	1	3	4	3	1	2	0	0	0	0	0	0	10	11	18	7	19	11
