chr	start	end	name	mrF-L5-s1_S10	mrF-L5-s2_S11	mrF-L5-s3_S12	mrF-L5-t1_S7	mrF-L5-t2_S8	mrF-L5-t3_S9	mrF-N12-s1_S4	mrF-N12-s2_S5	mrF-N12-s3_S6	mrF-N12-t1_S1	mrF-N12-t2_S2	mrF-N12-t3_S3	mrM-L5-s1_S22	mrM-L5-s2_S23	mrM-L5-s3_S24	mrM-L5-t1_S19	mrM-L5-t2_S20	mrM-L5-t3_S21	mrM-N12-s1_S16	mrM-N12-s2_S17	mrM-N12-s3_S18	mrM-N12-t1_S13	mrM-N12-t2_S14	mrM-N12-t3_S15	
chr10	85963	86389	Amillepora16770-RA:three_prime_utr	63	35	40	32	29	48	44	36	24	32	44	43	128	117	69	72	65	114	126	95	101	119	121	172
chr10	56203	57415	Amillepora16769-RA:three_prime_utr	3	2	0	0	0	0	2	0	0	0	1	0	10	5	5	2	5	2	7	1	4	2	6	9
chr10	129472	129691	Amillepora16774-RA:three_prime_utr	5	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
chr10	129293	129450	Amillepora16774-RA:three_prime_utr	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
chr10	116856	117778	Amillepora16773-RA:three_prime_utr	4	1	0	0	0	0	0	0	0	0	0	0	7	6	0	6	0	2	4	2	0	6	1	10
chr10	90029	90071	Amillepora16771-RA:three_prime_utr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0
chr10	171170	171644	Amillepora16777-RA:three_prime_utr	3	0	0	0	0	0	0	0	0	0	0	0	5	2	0	3	0	0	0	2	0	1	1	2
chr10	207171	207866	Amillepora16779-RA:three_prime_utr	8	0	0	2	0	0	0	0	0	0	0	3	2	4	2	0	0	0	7	0	0	0	0	3
chr10	299611	301430	Amillepora16784-RA:three_prime_utr	8	0	0	0	2	0	2	0	0	0	3	0	5	2	5	2	1	0	5	0	2	2	5	7
chr10	374803	375452	Amillepora16795-RA:three_prime_utr	38	9	4	2	0	5	13	1	5	8	4	5	102	74	54	68	31	72	80	42	45	33	25	79
chr10	308237	308641	Amillepora16787-RA:three_prime_utr	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	1	0	0	3	0	0
chr10	368715	368780	Amillepora16794-RA:three_prime_utr	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	3	0	0	1	0	0	0	1	4
chr10	365516	365756	Amillepora16794-RA:three_prime_utr	4	0	0	0	0	0	0	0	0	0	1	2	2	0	4	0	0	0	4	0	0	2	0	4
chr10	365223	365351	Amillepora16794-RA:three_prime_utr	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0
chr10	364491	364676	Amillepora16794-RA:three_prime_utr	18	1	0	2	2	0	2	0	0	0	0	0	2	0	0	0	1	0	6	2	0	1	2	0
chr10	364077	364311	Amillepora16794-RA:three_prime_utr	5	6	0	2	0	0	3	0	0	0	0	2	5	1	0	1	0	2	2	1	2	2	1	0
chr10	363589	363705	Amillepora16794-RA:three_prime_utr	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0
chr10	363317	363426	Amillepora16794-RA:three_prime_utr	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	1
chr10	362880	363156	Amillepora16794-RA:three_prime_utr	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	3	2	0	0	1	0	0
chr10	362165	362323	Amillepora16794-RA:three_prime_utr	3	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	2	0	0	0	1	0	0	2
chr10	361003	361833	Amillepora16794-RA:three_prime_utr	8	0	0	4	0	2	4	0	0	0	0	4	12	4	1	4	4	5	11	0	2	6	2	0
chr10	340754	341965	Amillepora16792-RA:three_prime_utr	21	1	0	1	0	0	5	0	0	0	0	0	14	6	2	5	2	0	8	0	2	4	0	4
chr10	334969	335988	Amillepora16791-RA:three_prime_utr	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	4	0	0	5	2	6
chr10	323999	324038	Amillepora16790-RA:three_prime_utr	2	0	0	0	0	0	1	0	1	0	0	2	1	1	0	0	0	1	1	0	1	0	0	1
chr10	315180	315352	Amillepora16788-RA:three_prime_utr	3	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
chr10	393603	394573	Amillepora16796-RA:three_prime_utr	2	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	2	0	3	0	0	2
chr10	431510	431783	Amillepora16800-RA:three_prime_utr	18	12	2	4	3	3	15	8	5	18	10	14	12	3	2	8	3	5	8	4	3	1	4	13
chr10	432005	432271	Amillepora16800-RA:three_prime_utr	6	15	0	11	6	9	22	6	2	8	12	15	3	4	1	3	0	1	9	1	3	3	4	8
chr10	432816	433019	Amillepora16800-RA:three_prime_utr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10	417666	418133	Amillepora16798-RA:three_prime_utr	3	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	0	2	0	0	2	0	0
chr10	402308	403950	Amillepora16797-RA:three_prime_utr	37	11	2	8	2	2	2	0	0	0	1	5	108	33	32	50	12	21	68	14	36	42	16	50
chr10	557034	557208	Amillepora16812-RA:three_prime_utr	3	0	0	0	1	1	2	1	1	0	0	2	5	2	1	0	0	0	5	0	2	2	2	0
chr10	530194	530628	Amillepora16808-RA:three_prime_utr	1	2	0	0	0	0	0	0	0	0	1	0	33	12	15	22	8	13	11	4	9	5	3	17
chr10	582743	583442	Amillepora16815-RA:three_prime_utr	0	1	0	0	0	0	0	0	0	1	0	0	9	0	0	2	1	0	7	0	0	1	0	5
chr10	557392	557631	Amillepora16813-RA:three_prime_utr	2	0	0	0	0	1	0	0	0	0	0	1	4	0	3	2	2	0	6	0	0	0	0	0
