chr	start	end	name	mrF-L5-s1_S10	mrF-L5-s2_S11	mrF-L5-s3_S12	mrF-L5-t1_S7	mrF-L5-t2_S8	mrF-L5-t3_S9	mrF-N12-s1_S4	mrF-N12-s2_S5	mrF-N12-s3_S6	mrF-N12-t1_S1	mrF-N12-t2_S2	mrF-N12-t3_S3	mrM-L5-s1_S22	mrM-L5-s2_S23	mrM-L5-s3_S24	mrM-L5-t1_S19	mrM-L5-t2_S20	mrM-L5-t3_S21	mrM-N12-s1_S16	mrM-N12-s2_S17	mrM-N12-s3_S18	mrM-N12-t1_S13	mrM-N12-t2_S14	mrM-N12-t3_S15	
chr1	248329	248569	SINE_1	8	1	11	9	4	12	0	9	11	8	8	2	19	24	20	7	6	13	12	11	4	8	5	14
chr1	248329	248569	SINE_2	8	1	11	9	4	12	0	9	11	8	8	2	19	24	20	7	6	13	12	11	4	8	5	14
chr1	735041	735289	SINE_3	11	23	6	5	2	7	6	5	2	5	8	2	68	36	40	33	34	43	59	29	50	34	26	76
chr1	735041	735289	SINE_4	11	23	6	5	2	7	6	5	2	5	8	2	68	36	40	33	34	43	59	29	50	34	26	76
chr1	807043	807260	SINE_5	10	4	5	5	3	2	23	25	20	21	14	16	14	23	16	18	15	24	61	50	59	48	49	81
chr1	807043	807260	SINE_6	10	4	5	5	3	2	23	25	20	21	14	16	14	23	16	18	15	24	61	50	59	48	49	81
chr1	873047	873234	SINE_7	4	2	0	2	0	0	0	0	0	0	0	0	15	2	0	3	3	3	2	1	0	0	3	0
chr1	873047	873234	SINE_8	4	2	0	2	0	0	0	0	0	0	0	0	15	2	0	3	3	3	2	1	0	0	3	0
chr1	884546	884741	SINE_9	21	11	1	2	1	0	11	1	0	5	13	7	11	2	1	3	1	4	7	2	5	3	5	27
chr1	884546	884741	SINE_10	21	11	1	2	1	0	11	1	0	5	13	7	11	2	1	3	1	4	7	2	5	3	5	27
chr1	912642	912790	SINE_11	0	0	0	0	0	0	1	0	2	0	0	0	6	11	2	9	8	6	23	20	12	10	6	14
chr1	912642	912790	SINE_12	0	0	0	0	0	0	1	0	2	0	0	0	6	11	2	9	8	6	23	20	12	10	6	14
chr1	1199139	1199328	SINE_13	8	1	0	0	0	0	0	0	0	0	0	0	1	3	1	4	0	1	2	1	2	0	3	3
chr1	1199139	1199328	SINE_14	8	1	0	0	0	0	0	0	0	0	0	0	1	3	1	4	0	1	2	1	2	0	3	3
chr1	1340231	1340490	SINE_15	11	12	13	15	7	6	2	8	12	8	15	7	43	67	41	38	32	62	60	41	32	39	42	91
chr1	1340231	1340490	SINE_16	11	12	13	15	7	6	2	8	12	8	15	7	43	67	41	38	32	62	60	41	32	39	42	91
chr1	1586163	1586248	SINE_17	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr1	1586163	1586248	SINE_18	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr1	1974508	1974740	SINE_19	8	1	0	0	0	0	4	1	0	2	1	0	1	4	0	5	4	6	12	3	1	11	1	1
chr1	1974508	1974740	SINE_20	8	1	0	0	0	0	4	1	0	2	1	0	1	4	0	5	4	6	12	3	1	11	1	1
chr1	2172439	2172647	SINE_21	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	2	0	0	0	0	0
chr1	2172439	2172647	SINE_22	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	2	0	0	0	0	0
chr1	2255385	2255577	SINE_23	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	4	0	0	2	0	2
chr1	2255385	2255577	SINE_24	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	4	0	0	2	0	2
chr1	2814860	2814996	SINE_25	1	1	0	2	0	2	1	0	0	0	0	2	1	0	4	3	0	2	4	4	2	3	2	7
chr1	2814860	2814996	SINE_26	1	1	0	2	0	2	1	0	0	0	0	2	1	0	4	3	0	2	4	4	2	3	2	7
chr1	2815376	2815644	SINE_27	3	2	0	1	0	2	2	0	4	2	2	1	32	17	22	13	9	15	65	25	37	32	33	67
chr1	2815376	2815644	SINE_28	3	2	0	1	0	2	2	0	4	2	2	1	32	17	22	13	9	15	65	25	37	32	33	67
chr1	2848735	2848824	SINE_29	37	19	19	21	26	29	30	19	7	17	25	30	49	47	31	36	18	49	37	20	22	22	29	38
chr1	2848735	2848824	SINE_30	37	19	19	21	26	29	30	19	7	17	25	30	49	47	31	36	18	49	37	20	22	22	29	38
chr1	3749062	3749285	SINE_31	0	0	0	0	0	0	1	0	4	0	0	1	2	4	4	2	6	3	7	5	4	11	2	8
chr1	3749062	3749285	SINE_32	0	0	0	0	0	0	1	0	4	0	0	1	2	4	4	2	6	3	7	5	4	11	2	8
chr1	4276170	4276217	SINE_33	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	0	0	8	4	3	7	3	19
chr1	4276170	4276217	SINE_34	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	0	0	8	4	3	7	3	19
chr1	4691226	4691402	SINE_35	4	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	2	2	0
chr1	4691226	4691402	SINE_36	4	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	2	2	0
chr1	4754724	4754978	SINE_37	29	23	22	42	28	37	14	15	7	19	16	13	36	18	14	16	20	32	14	11	19	8	9	34
chr1	4754724	4754978	SINE_38	29	23	22	42	28	37	14	15	7	19	16	13	36	18	14	16	20	32	14	11	19	8	9	34
chr1	4757549	4757740	SINE_39	0	5	2	2	1	1	0	0	0	0	2	0	2	0	1	0	0	1	4	1	0	2	0	2
chr1	4757549	4757740	SINE_40	0	5	2	2	1	1	0	0	0	0	2	0	2	0	1	0	0	1	4	1	0	2	0	2
chr1	4780695	4780940	SINE_41	66	52	71	68	30	76	12	43	12	36	20	48	50	52	21	31	24	47	46	21	19	20	32	38
chr1	4780695	4780940	SINE_42	66	52	71	68	30	76	12	43	12	36	20	48	50	52	21	31	24	47	46	21	19	20	32	38
chr1	4788896	4789051	SINE_43	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1
chr1	4788896	4789051	SINE_44	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1
chr1	4833641	4833862	SINE_45	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	1	1	0	1	0	0	3
chr1	4833641	4833862	SINE_46	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	1	1	0	1	0	0	3
chr1	4841499	4841744	SINE_47	48	25	33	71	35	50	49	67	34	49	66	53	29	23	12	22	11	29	34	24	21	15	14	44
chr1	4841499	4841744	SINE_48	48	25	33	71	35	50	49	67	34	49	66	53	29	23	12	22	11	29	34	24	21	15	14	44
chr1	4863431	4863622	SINE_49	10	4	3	4	3	1	0	1	1	2	0	2	1	2	1	1	1	1	3	0	0	1	0	3
chr1	4863431	4863622	SINE_50	10	4	3	4	3	1	0	1	1	2	0	2	1	2	1	1	1	1	3	0	0	1	0	3
chr1	4866198	4866453	SINE_51	44	29	32	32	26	44	16	23	12	21	15	17	51	48	45	39	28	54	19	26	30	29	24	57
chr1	4866198	4866453	SINE_52	44	29	32	32	26	44	16	23	12	21	15	17	51	48	45	39	28	54	19	26	30	29	24	57
chr1	4930727	4930838	SINE_53	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	4930727	4930838	SINE_54	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	5062698	5062927	SINE_55	19	10	11	18	18	15	5	1	0	0	1	1	71	87	51	57	65	88	56	43	62	39	52	64
chr1	5062698	5062927	SINE_56	19	10	11	18	18	15	5	1	0	0	1	1	71	87	51	57	65	88	56	43	62	39	52	64
chr1	5174824	5175149	SINE_57	7	0	1	0	0	0	2	0	0	0	2	0	1	0	0	2	0	1	0	0	0	0	2	1
chr1	5174824	5175149	SINE_58	7	0	1	0	0	0	2	0	0	0	2	0	1	0	0	2	0	1	0	0	0	0	2	1
chr1	5223812	5224055	SINE_59	17	10	4	7	5	5	2	5	0	2	2	4	11	12	6	11	6	10	9	14	11	11	15	13
chr1	5223812	5224055	SINE_60	17	10	4	7	5	5	2	5	0	2	2	4	11	12	6	11	6	10	9	14	11	11	15	13
chr1	5224236	5224627	SINE_61	10	2	1	4	2	0	0	1	1	0	2	2	0	5	2	0	1	0	6	0	1	4	5	7
chr1	5224236	5224627	SINE_62	10	2	1	4	2	0	0	1	1	0	2	2	0	5	2	0	1	0	6	0	1	4	5	7
chr1	5449385	5449578	SINE_63	2	0	1	1	2	3	4	2	0	1	0	1	23	20	12	25	20	13	19	13	17	15	14	30
chr1	5449385	5449578	SINE_64	2	0	1	1	2	3	4	2	0	1	0	1	23	20	12	25	20	13	19	13	17	15	14	30
chr1	5677394	5677587	SINE_65	6	5	12	19	8	15	11	5	15	8	7	5	75	72	36	40	35	53	51	30	31	39	37	74
chr1	5677394	5677587	SINE_66	6	5	12	19	8	15	11	5	15	8	7	5	75	72	36	40	35	53	51	30	31	39	37	74
chr1	5877766	5877975	SINE_67	5	3	7	7	14	2	2	9	23	10	24	13	34	45	33	30	35	39	29	34	32	32	44	70
chr1	5877766	5877975	SINE_68	5	3	7	7	14	2	2	9	23	10	24	13	34	45	33	30	35	39	29	34	32	32	44	70
chr1	6144859	6145070	SINE_69	11	2	1	2	2	3	5	1	0	4	0	0	56	41	33	32	27	42	48	28	26	23	18	28
chr1	6144859	6145070	SINE_70	11	2	1	2	2	3	5	1	0	4	0	0	56	41	33	32	27	42	48	28	26	23	18	28
chr1	6176317	6176654	SINE_71	1	0	2	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0
chr1	6176317	6176654	SINE_72	1	0	2	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0
chr1	6933898	6934194	SINE_73	4	2	0	1	0	1	3	1	1	0	1	0	7	2	0	3	0	0	2	2	2	1	4	2
chr1	6933898	6934194	SINE_74	4	2	0	1	0	1	3	1	1	0	1	0	7	2	0	3	0	0	2	2	2	1	4	2
chr1	7232519	7232728	SINE_75	43	26	29	31	19	23	10	6	0	5	6	6	52	54	36	34	31	51	22	21	24	45	31	43
chr1	7232519	7232728	SINE_76	43	26	29	31	19	23	10	6	0	5	6	6	52	54	36	34	31	51	22	21	24	45	31	43
chr1	7483887	7484262	SINE_77	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	4	2	0	2	0	3
chr1	7483887	7484262	SINE_78	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	4	2	0	2	0	3
chr1	8388173	8388387	SINE_79	130	154	211	175	215	228	46	104	85	79	60	70	33	34	12	31	26	31	12	10	6	16	11	21
chr1	8388173	8388387	SINE_80	130	154	211	175	215	228	46	104	85	79	60	70	33	34	12	31	26	31	12	10	6	16	11	21
chr1	8562926	8563083	SINE_81	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	2
chr1	8562926	8563083	SINE_82	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	2
chr1	8775742	8775803	SINE_83	3	0	0	0	1	0	1	0	0	0	1	0	12	8	8	3	2	4	4	1	5	3	2	2
chr1	8775742	8775803	SINE_84	3	0	0	0	1	0	1	0	0	0	1	0	12	8	8	3	2	4	4	1	5	3	2	2
chr1	8797768	8797978	SINE_85	4	0	0	0	0	0	1	0	0	0	1	0	9	0	0	3	0	2	2	3	4	4	0	0
chr1	8797768	8797978	SINE_86	4	0	0	0	0	0	1	0	0	0	1	0	9	0	0	3	0	2	2	3	4	4	0	0
chr1	8802035	8802138	SINE_87	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	2	2	0	5
