mrF-L5-s1_S10_R1.fq	15688002	rawCounts
mrF-L5-s1_S10_R2.fq	15688002	rawCounts
mrF-L5-s2_S11_R1.fq	10676555	rawCounts
mrF-L5-s2_S11_R2.fq	10676555	rawCounts
mrF-L5-s3_S12_R1.fq	10880876	rawCounts
mrF-L5-s3_S12_R2.fq	10880876	rawCounts
mrF-L5-t1_S7_R1.fq	9999255	rawCounts
mrF-L5-t1_S7_R2.fq	9999255	rawCounts
mrF-L5-t2_S8_R1.fq	9041683	rawCounts
mrF-L5-t2_S8_R2.fq	9041683	rawCounts
mrF-L5-t3_S9_R1.fq	12618390	rawCounts
mrF-L5-t3_S9_R2.fq	12618390	rawCounts
mrF-N12-s1_S4_R1.fq	10122677	rawCounts
mrF-N12-s1_S4_R2.fq	10122677	rawCounts
mrF-N12-s2_S5_R1.fq	10136612	rawCounts
mrF-N12-s2_S5_R2.fq	10136612	rawCounts
mrF-N12-s3_S6_R1.fq	8470647	rawCounts
mrF-N12-s3_S6_R2.fq	8470647	rawCounts
mrF-N12-t1_S1_R1.fq	9507112	rawCounts
mrF-N12-t1_S1_R2.fq	9507112	rawCounts
mrF-N12-t2_S2_R1.fq	11703745	rawCounts
mrF-N12-t2_S2_R2.fq	11703745	rawCounts
mrF-N12-t3_S3_R1.fq	9497856	rawCounts
mrF-N12-t3_S3_R2.fq	9497856	rawCounts
mrM-L5-s1_S22_R1.fq	17459669	rawCounts
mrM-L5-s1_S22_R2.fq	17459669	rawCounts
mrM-L5-s2_S23_R1.fq	15597665	rawCounts
mrM-L5-s2_S23_R2.fq	15597665	rawCounts
mrM-L5-s3_S24_R1.fq	11013698	rawCounts
mrM-L5-s3_S24_R2.fq	11013698	rawCounts
mrM-L5-t1_S19_R1.fq	11850020	rawCounts
mrM-L5-t1_S19_R2.fq	11850020	rawCounts
mrM-L5-t2_S20_R1.fq	9536448	rawCounts
mrM-L5-t2_S20_R2.fq	9536448	rawCounts
mrM-L5-t3_S21_R1.fq	15644303	rawCounts
mrM-L5-t3_S21_R2.fq	15644303	rawCounts
mrM-N12-s1_S16_R1.fq	14545870	rawCounts
mrM-N12-s1_S16_R2.fq	14545870	rawCounts
mrM-N12-s2_S17_R1.fq	9181096	rawCounts
mrM-N12-s2_S17_R2.fq	9181096	rawCounts
mrM-N12-s3_S18_R1.fq	10753892	rawCounts
mrM-N12-s3_S18_R2.fq	10753892	rawCounts
mrM-N12-t1_S13_R1.fq	10636486	rawCounts
mrM-N12-t1_S13_R2.fq	10636486	rawCounts
mrM-N12-t2_S14_R1.fq	10669239	rawCounts
mrM-N12-t2_S14_R2.fq	10669239	rawCounts
mrM-N12-t3_S15_R1.fq	19320534	rawCounts
mrM-N12-t3_S15_R2.fq	19320534	rawCounts
