"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
145 0.809170622447617 3 7 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.928883784750243
-496 0.242303274654814 5 14 "GO:0000030" "mannosyltransferase activity" 0.528145418974165
-1 0.997526729960609 2 23 "GO:0000049" "tRNA binding" 0.999679838546666
-8 0.983293787293884 2 18 "GO:0000062;GO:1901567" "fatty acid derivative binding" 0.994891189233399
773 0.143665232129779 5 9 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 0.392966664354984
-884 0.0534214703404111 8 12 "GO:0000146;GO:0030898" "microfilament motor activity" 0.235335635131179
138 0.675988114258913 2 23 "GO:0000149" "SNARE binding" 0.867794557721948
-100 0.137413164220713 2 631 "GO:0000166;GO:1901265;GO:0097367" "carbohydrate derivative binding" 0.379586859579989
59 0.907028373897152 3 10 "GO:0000217" "DNA secondary structure binding" 0.961226193161994
-211 0.279434857103663 2 67 "GO:0000287" "magnesium ion binding" 0.565717637346484
-79 0.875285088183826 3 10 "GO:0000339;GO:0000340" "RNA cap binding" 0.94775371126761
200 0.757878855699839 2 6 "GO:0000403" "Y-form DNA binding" 0.908835942040636
217 0.664954348789604 3 10 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.866324090644395
17 0.916359474892834 3 102 "GO:0000976;GO:1990837" "sequence-specific double-stranded DNA binding" 0.966223890908234
-42 0.832310704954401 2 66 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.940525774289737
-292 0.277036117511643 2 35 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.564075145927824
435 0.53984986200721 4 5 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.772400571794931
-194 0.659887905301512 6 13 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.864360213986488
-38 0.798581511788921 3 116 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.926877081272668
-369 0.000269410739253929 -1 257 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 0.0072440299781352
-390 0.546853567931577 3 6 "GO:0000993;GO:0043175" "RNA polymerase II complex binding" 0.779162252231716
382 0.469499317902335 2 9 "GO:0001046" "core promoter sequence-specific DNA binding" 0.709333807011289
469 0.197527268133356 4 19 "GO:0001047" "core promoter binding" 0.466356933205413
-537 0.00746011937946776 -1 63 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.0821594726396647
-531 0.101431476559651 2 24 "GO:0001085" "RNA polymerase II transcription factor binding" 0.326531330309338
-1098 0.121369136332816 2 5 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.351508536714765
-713 0.136170754500304 4 11 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.377400402373359
253 0.651626289273415 6 8 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.857262317482294
-77 0.832651850356864 4 19 "GO:0001158;GO:0035326" "enhancer binding" 0.940525774289737
-264 0.493111167981261 -1 17 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.737025085000563
-215 0.612598523559525 -1 14 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.834287919199526
159 0.727985506338593 2 12 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.892479653711979
278 0.315451597916785 3 33 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.587128061723746
-1241 0.0133192245966463 2 10 "GO:0001530" "lipopolysaccharide binding" 0.109837824246273
948 0.0729193532247346 2 9 "GO:0001540" "amyloid-beta binding" 0.280925666006751
1101 0.120219279548841 4 5 "GO:0001571" "non-tyrosine kinase fibroblast growth factor receptor activity" 0.349387281188819
1007 0.00188055175683256 3 24 "GO:0001653;GO:0008188;GO:0008528" "peptide receptor activity" 0.0296985249145067
263 0.273569971361902 4 44 "GO:0001664" "G protein-coupled receptor binding" 0.562551009416829
25 0.968838361247135 2 6 "GO:0001727" "lipid kinase activity" 0.988392773508418
10 0.986570713337779 2 7 "GO:0001784" "phosphotyrosine residue binding" 0.994891189233399
372 0.506461469511092 2 8 "GO:0001786" "phosphatidylserine binding" 0.751610372306355
-34 0.955352171369943 3 7 "GO:0001846;GO:0001848" "complement binding" 0.983048982600671
496 0.299585902047223 4 11 "GO:0001871;GO:0030247;GO:0086080;GO:0098632;GO:0098631" "cell adhesion mediator activity" 0.580447685216495
-134 0.0874276615650884 2 446 "GO:0001882;GO:0001883;GO:0032550;GO:0035639;GO:0032549;GO:0032555;GO:0017076;GO:0032553" "purine nucleotide binding" 0.29746728752024
283 0.690138824374285 3 5 "GO:0001968" "fibronectin binding" 0.87257733534936
624 0.334918448102872 4 6 "GO:0002020" "protease binding" 0.600271394137267
-104 0.794079394134181 2 16 "GO:0002039" "p53 binding" 0.925785369158463
-72 0.310086342779823 2 558 "GO:0003677" "DNA binding" 0.583637453941515
519 0.0303029726149454 2 44 "GO:0003678" "DNA helicase activity" 0.171375595126414
526 0.416723365841586 2 6 "GO:0003680" "AT DNA binding" 0.665644002308029
-124 0.293160433643026 2 186 "GO:0003682" "chromatin binding" 0.572717472412687
187 0.518966293422978 3 30 "GO:0003684" "damaged DNA binding" 0.761518005306983
1134 0.0583349978209323 2 7 "GO:0003688" "DNA replication origin binding" 0.244051996970903
-47 0.712231287935431 3 162 "GO:0003690" "double-stranded DNA binding" 0.887109505955291
-210 0.422628783089394 3 37 "GO:0003697" "single-stranded DNA binding" 0.668696203111196
93 0.320859653518578 2 301 "GO:0003700" "DNA-binding transcription factor activity" 0.590240725263846
