"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-17 0.512466491967342 5 7 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.997113254839194
-255 0.717738619893489 2 11 "GO:0000030" "mannosyltransferase activity" 0.997113254839194
62 0.432717232513519 2 16 "GO:0000049" "tRNA binding" 0.997113254839194
-482 0.872638637700301 4 12 "GO:0000062;GO:1901567" "fatty acid derivative binding" 0.997113254839194
-132 0.606416916756282 4 9 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 0.997113254839194
272 0.260128458555315 2 12 "GO:0000146;GO:0030898" "microfilament motor activity" 0.997113254839194
224 0.246933509615191 2 20 "GO:0000149;GO:0019905" "SNARE binding" 0.997113254839194
-88 0.9121018518761 2 579 "GO:0000166;GO:1901265;GO:0097367" "carbohydrate derivative binding" 0.997113254839194
-65 0.555701108241172 2 10 "GO:0000217" "DNA secondary structure binding" 0.997113254839194
-94 0.697285495049973 5 66 "GO:0000287" "magnesium ion binding" 0.997113254839194
11 0.493539520284634 4 5 "GO:0000295;GO:0015216;GO:0005346" "purine ribonucleotide transmembrane transporter activity" 0.997113254839194
66 0.443316989705002 3 10 "GO:0000339;GO:0000340" "RNA cap binding" 0.997113254839194
286 0.316421931658018 6 6 "GO:0000403" "Y-form DNA binding" 0.997113254839194
-909 0.975072754843938 3 10 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.997113254839194
-169 0.878316134139986 3 104 "GO:0000976;GO:1990837" "sequence-specific double-stranded DNA binding" 0.997113254839194
-142 0.789745145860372 3 70 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.997113254839194
-460 0.974567006475595 2 39 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.997113254839194
-591 0.838412731052919 4 6 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.997113254839194
439 0.122948478983187 2 15 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.997113254839194
-142 0.855566441402389 2 122 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.997113254839194
23 0.407245835314527 -1 241 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 0.997113254839194
-719 0.885194923473568 3 6 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.997113254839194
-484 0.851606605067684 2 10 "GO:0001046" "core promoter sequence-specific DNA binding" 0.997113254839194
-536 0.948770216972957 2 20 "GO:0001047" "core promoter binding" 0.997113254839194
119 0.265781189800267 -1 60 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.997113254839194
480 0.0584801187224783 4 23 "GO:0001085" "RNA polymerase II transcription factor binding" 0.997113254839194
-197 0.664933225798451 4 10 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.997113254839194
15 0.488674535765584 2 8 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.997113254839194
46 0.440438183682841 2 23 "GO:0001158;GO:0035326" "enhancer binding" 0.997113254839194
-196 0.71980658325488 -1 19 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.997113254839194
-32 0.532520299696947 -1 14 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.997113254839194
-745 0.981890090352915 2 17 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.997113254839194
-600 0.992180568612593 4 35 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.997113254839194
-954 0.980228307801444 3 10 "GO:0001530" "lipopolysaccharide binding" 0.997113254839194
-1237 0.991538043408056 2 8 "GO:0001540" "amyloid-beta binding" 0.997113254839194
-114 0.647819317428489 3 24 "GO:0001653;GO:0008188;GO:0008528" "peptide receptor activity" 0.997113254839194
-223 0.840322806474027 4 43 "GO:0001664" "G protein-coupled receptor binding" 0.997113254839194
-595 0.840114707316932 2 6 "GO:0001727" "lipid kinase activity" 0.997113254839194
-791 0.923372007817792 2 7 "GO:0001784" "phosphotyrosine residue binding" 0.997113254839194
-302 0.779921749749838 2 14 "GO:0001786" "phosphatidylserine binding" 0.997113254839194
942 0.0445792715289522 3 7 "GO:0001846;GO:0001848" "complement binding" 0.997113254839194
76 0.431914855687745 4 11 "GO:0001871;GO:0030247;GO:0086080;GO:0098632;GO:0098631" "cell adhesion mediator activity" 0.997113254839194
-87 0.872172877266214 2 400 "GO:0001882;GO:0001883;GO:0032550;GO:0035639;GO:0032549;GO:0032555;GO:0017076;GO:0032553" "purine nucleotide binding" 0.997113254839194
125 0.424392065411138 3 5 "GO:0001965" "G-protein alpha-subunit binding" 0.997113254839194
-183 0.610220510536465 3 5 "GO:0001968" "fibronectin binding" 0.997113254839194
185 0.312178715443191 3 15 "GO:0002039" "p53 binding" 0.997113254839194
-64 0.538703658448228 2 5 "GO:0002151" "G-quadruplex RNA binding" 0.997113254839194
209 0.181290308279593 2 41 "GO:0003678" "DNA helicase activity" 0.997113254839194
-102 0.572957002367904 2 7 "GO:0003680" "AT DNA binding" 0.997113254839194
-230 0.978705849077607 2 173 "GO:0003682" "chromatin binding" 0.997113254839194
209 0.230288879163371 3 27 "GO:0003684" "damaged DNA binding" 0.997113254839194
-612 0.846936812691792 2 6 "GO:0003688" "DNA replication origin binding" 0.997113254839194
-168 0.922540892447752 3 159 "GO:0003690" "double-stranded DNA binding" 0.997113254839194
87 0.369390830977071 2 32 "GO:0003697" "single-stranded DNA binding" 0.997113254839194
-82 0.825897145856499 2 299 "GO:0003700" "DNA-binding transcription factor activity" 0.997113254839194
-922 0.938426896565054 2 6 "GO:0003707" "steroid hormone receptor activity" 0.997113254839194
100 0.217714909024328 3 134 "GO:0003713" "transcription coactivator activity" 0.997113254839194
-96 0.719724959955648 3 80 "GO:0003714" "transcription corepressor activity" 0.997113254839194
108 0.0871785432283599 2 366 "GO:0003723" "RNA binding" 0.997113254839194
-90 0.686151957243256 2 63 "GO:0003724;GO:0004004;GO:0008186" "RNA helicase activity" 0.997113254839194
166 0.286057946549969 2 25 "GO:0003725" "double-stranded RNA binding" 0.997113254839194
110 0.323942112417054 3 37 "GO:0003727" "single-stranded RNA binding" 0.997113254839194
148 0.10407822531904 2 161 "GO:0003729" "mRNA binding" 0.997113254839194
265 0.154060406383355 2 32 "GO:0003730" "mRNA 3'-UTR binding" 0.997113254839194
-12 0.528959573767042 2 76 "GO:0003735" "structural constituent of ribosome" 0.997113254839194
289 0.115537769080945 2 37 "GO:0003743" "translation initiation factor activity" 0.997113254839194
428 0.190501151527441 2 9 "GO:0003746" "translation elongation factor activity" 0.997113254839194
