"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-138 0.776981958209273 5 16 "GO:0000002" "mitochondrial genome maintenance" 0.931793508547502
693 0.0301309226018625 6 37 "GO:0000018" "regulation of DNA recombination" 0.248754869756234
1420 0.0528704931580092 2 7 "GO:0000019" "regulation of mitotic recombination" 0.321655215859505
-1851 1.92275368904466e-15 3 70 "GO:0000022;GO:0051231" "spindle elongation" 7.8140709922775e-13
-2436 0.00499508037058189 2 5 "GO:0000028" "ribosomal small subunit assembly" 0.0921948422186708
-391 0.59371927215656 6 7 "GO:0000038" "very long-chain fatty acid metabolic process" 0.860818809148862
605 0.00280517864300132 2 93 "GO:0000041" "transition metal ion transport" 0.0690924000312567
59 0.909652384912074 3 14 "GO:0000045;GO:1905037" "autophagosome assembly" 0.971759862813481
-122 0.868422704344321 4 7 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.963941269669155
151 0.788146700394451 -1 12 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.938082576884335
-173 0.431010112221776 2 79 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.770446406803811
-173 0.127376511577225 3 307 "GO:0000075;GO:1901988;GO:0010948;GO:1901987" "regulation of cell cycle phase transition" 0.465297921393199
586 0.276608303526506 5 13 "GO:0000076" "DNA replication checkpoint" 0.650324974705102
-320 0.0411859083781114 3 157 "GO:0000077;GO:0031570;GO:0044773;GO:0044774" "DNA integrity checkpoint" 0.284659067429668
-338 0.238297008975728 2 46 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.614243582146696
26 0.956307222812887 2 17 "GO:0000080;GO:0051318" "mitotic G1 phase" 0.988662567670204
-121 0.416933619650247 4 174 "GO:0000082;GO:0044843;GO:0051325;GO:0051329" "interphase" 0.760689169160617
1093 0.0243612334279386 3 16 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.223302111198688
-172 0.352682899977447 3 111 "GO:0000084;GO:0051320" "S phase" 0.712023500004145
299 0.730772136184372 2 5 "GO:0000085;GO:0051319" "mitotic G2 phase" 0.91211853852988
-22 0.918511508793513 2 85 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.973866624507393
144 0.833329555158431 2 8 "GO:0000087" "mitotic M phase" 0.951403954393142
-616 0.0424347516903944 5 41 "GO:0000096" "sulfur amino acid metabolic process" 0.289070928637685
-378 0.499558424945437 2 12 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 0.815366789842434
576 0.284650132703132 4 13 "GO:0000098" "sulfur amino acid catabolic process" 0.65655092068802
949 0.1421932209404 3 9 "GO:0000101;GO:0015811" "sulfur amino acid transport" 0.486589130784225
-5 0.965196226177978 6 322 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.991546375932078
604 0.0467099911505303 2 41 "GO:0000132" "establishment of mitotic spindle orientation" 0.303877703175471
