"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-730 0.180345856398351 3 8 "GO:0000109" "nucleotide-excision repair complex" 0.382282413914814
111 0.658029301490678 2 38 "GO:0000118" "histone deacetylase complex" 0.821752019728601
-47 0.807653550113746 2 64 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.914297176289069
431 0.263212205549646 2 16 "GO:0000124" "SAGA complex" 0.493501480404976
302 0.660997755334204 2 5 "GO:0000125" "PCAF complex" 0.821752019728601
-923 0.11265299476613 6 7 "GO:0000137" "Golgi cis cisterna" 0.283753568406737
-223 0.701547018822947 2 7 "GO:0000138" "Golgi trans cisterna" 0.849761177729203
181 0.0302528467763148 4 364 "GO:0000139" "Golgi membrane" 0.122229622545916
-19 0.976391865728085 4 6 "GO:0000145" "exocyst" 0.986221314040784
-136 0.397289314083009 3 93 "GO:0000151" "ubiquitin ligase complex" 0.617410435274877
-183 0.545246886052323 3 26 "GO:0000152" "nuclear ubiquitin ligase complex" 0.739916246967378
-636 0.27431541006392 2 7 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.497403243549638
-849 0.118885917812718 4 8 "GO:0000159" "protein phosphatase type 2A complex" 0.294523961001054
-757 0.066191724112595 3 14 "GO:0000176;GO:0000177" "nuclear exosome (RNase complex)" 0.198245860277523
-725 0.0460645497323168 3 18 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.15756169851622
-925 0.179293073933248 4 5 "GO:0000220;GO:0033179" "vacuolar proton-transporting V-type ATPase, V0 domain" 0.381393747377439
-478 0.379656610526313 4 8 "GO:0000221;GO:0033180" "proton-transporting V-type ATPase, V1 domain" 0.603037679232163
-200 0.0375221133906436 3 271 "GO:0000228;GO:0044454" "nuclear chromosome" 0.14030007615632
174 0.652554228629151 2 16 "GO:0000235;GO:0005818" "aster" 0.821199220019469
-54 0.900281280988828 3 13 "GO:0000242" "pericentriolar material" 0.95564160561245
-1745 0.0112777194039795 3 5 "GO:0000275;GO:0045261" "proton-transporting ATP synthase complex, catalytic core F(1)" 0.0634503465532305
-153 0.701006338792766 2 15 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.849761177729203
-556 0.0198005320996807 3 42 "GO:0000313;GO:0005761" "organellar ribosome" 0.0977042649508835
-573 0.105204691397861 5 19 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 0.268866898623518
-679 0.03476544278628 5 23 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.132460737704687
