"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-370 0.934901577598688 2 55 "GO:0000022;GO:0051231" "spindle elongation" 0.995737617451985
257 0.089863077677891 7 90 "GO:0000041" "transition metal ion transport" 0.98217035517035
-82 0.649353882891477 2 73 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.995737617451985
36 0.372501078941126 2 276 "GO:0000075;GO:1901988;GO:0010948;GO:1901987" "regulation of cell cycle phase transition" 0.995737617451985
-22 0.554838753817578 2 134 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.995737617451985
39 0.397678523809134 5 149 "GO:0000082;GO:0044843;GO:0051325;GO:0051329" "interphase" 0.995737617451985
12 0.47484115626713 2 87 "GO:0000084;GO:0051320" "S phase" 0.995737617451985
-76 0.762103720700359 2 305 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.995737617451985
-60 0.660021911226201 7 156 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 0.995737617451985
32 0.438350005199997 2 79 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.995737617451985
4 0.492596113677042 2 82 "GO:0000187" "activation of MAPK activity" 0.995737617451985
177 0.163422663047791 2 102 "GO:0000209" "protein polyubiquitination" 0.98217035517035
-104 0.896881330298499 2 524 "GO:0000226;GO:0007017" "microtubule-based process" 0.995737617451985
-119 0.887745219045624 5 358 "GO:0000280;GO:0048285" "organelle fission" 0.995737617451985
200 0.113688332775935 3 121 "GO:0000302" "response to reactive oxygen species" 0.98217035517035
33 0.39783530827093 2 213 "GO:0000375;GO:0008380;GO:0000377;GO:0000398" "RNA splicing" 0.995737617451985
-185 0.88968696526419 2 147 "GO:0000578;GO:0009948;GO:0007351;GO:0008595" "anterior/posterior axis specification" 0.995737617451985
-76 0.850532773285191 4 685 "GO:0000904;GO:0048812;GO:0120039;GO:0048667" "cell morphogenesis involved in differentiation" 0.995737617451985
181 0.0904777059801356 3 184 "GO:0000910" "cytokinesis" 0.98217035517035
87 0.282042350460694 7 146 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.98217035517035
-12 0.534120728036709 2 184 "GO:0001101" "response to acid chemical" 0.995737617451985
-140 0.857080792439459 3 196 "GO:0001501" "skeletal system development" 0.995737617451985
-60 0.616670605268247 2 81 "GO:0001503" "ossification" 0.995737617451985
55 0.321142371613128 3 241 "GO:0001505" "regulation of neurotransmitter levels" 0.98217035517035
229 0.107292900860238 2 97 "GO:0001508" "action potential" 0.98217035517035
-155 0.854602170736928 3 155 "GO:0001525" "angiogenesis" 0.995737617451985
121 0.17042904358584 2 209 "GO:0001558" "regulation of cell growth" 0.98217035517035
